pair,material_id,distance_dex,realized_Linf_A,realized_Linf_B,realized_Linf_ratio_A_over_B,row_index_A,row_index_B,nominal_tolerance_absolute_A,nominal_tolerance_absolute_B,nominal_tolerance_relative_A,nominal_tolerance_relative_B,Bader_error_fixed_e_A,Bader_error_fixed_e_B,Bader_error_resolved_e_A,Bader_error_resolved_e_B,compression_ratio_A,compression_ratio_B,bits_per_value_A,bits_per_value_B,certified_at_0.0001_A,certified_at_0.0001_B,certified_at_0.0001_ignoring_eligibility_A,certified_at_0.0001_ignoring_eligibility_B,certified_at_0.001_A,certified_at_0.001_B,certified_at_0.001_ignoring_eligibility_A,certified_at_0.001_ignoring_eligibility_B,certified_at_0.01_A,certified_at_0.01_B,certified_at_0.01_ignoring_eligibility_A,certified_at_0.01_ignoring_eligibility_B,eligible_A1_at_0.0001_A,eligible_A1_at_0.0001_B,eligible_A1_at_0.001_A,eligible_A1_at_0.001_B,eligible_A1_at_0.01_A,eligible_A1_at_0.01_B
sz3_vs_sperr,mp-1188002,2.8496244893538858e-05,0.0017636379643199,0.0017635222469607,1.0000656171814104,992,980,0.00176363807649,0.00176363807649,3e-06,3e-06,2.5618574426289342e-06,1.2980735188961037e-06,0.0008613773730612,0.0008526144646854,10.09730117238884,15.904042609853528,6.338327331961591,4.024134087791495,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sz3_vs_sperr,mp-1188002,5.3259150545104106e-05,0.0176363538856776,0.017634191206497,1.0001226412459339,994,982,0.0176363807649,0.0176363807649,3e-05,3e-05,0.0002000972039564,2.114046859169605e-05,0.0030225553578535,0.0025485307327883,22.31510350496973,32.49767639280389,2.8680126886145403,1.9693715706447188,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
sz3_vs_sperr,mp-1188002,7.786937044240716e-05,0.0587878575715876,0.0587773178035853,1.0001793169269397,995,983,0.058787935883,0.058787935883,0.0001,0.0001,0.000698721433892,6.91026024437491e-05,0.0022897460295467,0.0062963094124679,37.75998381345001,50.344522938409405,1.6949159807956105,1.2712405692729767,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
sz3_vs_sperr,mp-1188002,8.260467720733189e-05,0.0058787770513344,0.0058776589890037,1.0001902223883339,993,981,0.0058787935883,0.0058787935883,1e-05,1e-05,4.477022278948084e-05,7.532188902814596e-06,0.0014182810411647,0.0028338036999677,14.84692568541851,22.54304415772666,4.310656721536351,2.8390132030178328,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
sz3_vs_sperr,mp-1188002,0.00018853022676990072,0.1763633199298819,0.176286776012926,1.000434201127771,996,984,0.1763638076489999,0.1763638076489999,0.0003,0.0003,0.0012107789206226,0.0001818237158044,0.0110336209857155,0.0037068607910963,66.10107807761273,80.86618821936358,0.9682141632373114,0.7914308984910837,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True
sz3_vs_sperr,mp-1188002,0.0008920268861298264,0.5878771230626398,0.58667088158996,1.0020560786473853,997,985,0.58787935883,0.58787935883,0.001,0.001,0.0077295403709634,0.0005120941565976,0.0756411734434951,0.0157433528124606,133.51743874083348,149.1724034570615,0.47933813443072704,0.4290337791495199,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
sz3_vs_sperr,mp-1192831,2.5908699750401554e-06,1.1504887500051808,1.1504818865565485,1.0000059657163771,1025,1017,1.1504893295099998,1.1504893295099998,0.0001,0.0001,0.0020252686901685,0.000161949330339,0.019564657160159,0.0290431521593514,81.42250489616258,12.73151064347486,0.7860234720317025,5.026897576588935,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
sz3_vs_sperr,mp-1192831,3.5654355309833186e-06,0.345146622836296,0.3451437892912423,1.0000082097524035,1024,1016,0.345146798853,0.345146798853,3e-05,3e-05,0.0004561346722598,6.386398482582933e-05,0.0066946623233636,0.0096798821410146,44.16381157724518,9.64632396775094,1.449150281969212,6.63465172991922,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True,True
sz3_vs_sperr,mp-1192831,4.093554033524072e-06,0.0011504887075943,0.001150477863419,1.0000094258009171,1019,1011,0.0011504893295099,0.0011504893295099,1e-07,1e-07,2.133752081689977e-07,1.1493057083811209e-07,0.0007699893466774,0.0011840157846698,6.883316681187774,4.286444897913351,9.297843316567596,14.930787989635727,False,False,False,False,True,False,True,False,True,True,True,True,False,False,True,True,True,True
sz3_vs_sperr,mp-1192831,4.129955885945336e-06,3.451450256933583,3.451417435265057,1.000009509620074,1026,1018,3.45146798853,3.45146798853,0.0003,0.0003,0.0042876975189756,0.0004934164644323,0.0373517499200879,0.0527846451990736,144.12356272524454,16.70910556003223,0.44406340496875474,3.830246913580247,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
