caliper_dex,pair,metric,effect_type,n_usable_pairs,n_usable_materials,a_pair_median,b_pair_median,effect,ci_low,ci_high
0.3,zfp_vs_sz3,certified_at_0.001 | both eligible_A1_at_0.001=TRUE,material-mean certification-rate difference zfp-sz3,1136,143,0.4278169014084507,0.31338028169014087,0.12199240153785608,0.10226233362597,0.14175479823207093
0.3,zfp_vs_sz3,certified_at_0.001_ignoring_eligibility,material-mean certification-rate difference zfp-sz3,1621,248,0.3133867982726712,0.22270203578038247,0.08434968928920542,0.07077763522319974,0.09802326985290694
0.3,zfp_vs_sz3,certified_at_0.01 | both eligible_A1_at_0.01=TRUE,material-mean certification-rate difference zfp-sz3,1539,229,0.6998050682261209,0.6075373619233269,0.10518488062156185,0.08636877193645752,0.12401071302545101
0.3,zfp_vs_sz3,certified_at_0.01_ignoring_eligibility,material-mean certification-rate difference zfp-sz3,1621,248,0.6736582356570019,0.5786551511412709,0.10761023250942606,0.08973644495065866,0.12702309675091933
0.3,zfp_vs_sperr,Bader_error_fixed_e,material-median ratio zfp/sperr,1622,248,2.5940389705603195e-05,3.150260803241878e-05,0.7258042760971063,0.659636012983371,0.7940975003548213
0.3,zfp_vs_sperr,Bader_error_resolved_e,material-median ratio zfp/sperr,1622,248,0.0036883143562044998,0.0065097607966757,0.6003133629927346,0.5735247985028349,0.6511810120023431
0.3,zfp_vs_sperr,compression_ratio,material-median ratio zfp/sperr,1622,248,23.89724740696776,10.966034852268852,2.4160744257131617,2.3021432553751775,2.5213263440604883
0.3,zfp_vs_sperr,bits_per_value,material-median ratio zfp/sperr,1622,248,2.678132716049383,5.836202502262908,0.4138945346043412,0.3966166467723265,0.4343778336405182
0.3,zfp_vs_sperr,certified_at_0.0001 | both eligible_A1_at_0.0001=TRUE,material-mean certification-rate difference zfp-sperr,388,46,0.22422680412371135,0.15721649484536082,0.06987577639751553,0.04056504485852312,0.10216679606625258
0.3,zfp_vs_sperr,certified_at_0.0001_ignoring_eligibility,material-mean certification-rate difference zfp-sperr,1622,248,0.09247842170160296,0.051171393341553635,0.034965728715728714,0.025366008879113718,0.04471530905250662
0.3,zfp_vs_sperr,certified_at_0.001 | both eligible_A1_at_0.001=TRUE,material-mean certification-rate difference zfp-sperr,1137,143,0.42744063324538256,0.3544415127528584,0.07829165783711238,0.05810142509006144,0.09938212040484765
0.3,zfp_vs_sperr,certified_at_0.001_ignoring_eligibility,material-mean certification-rate difference zfp-sperr,1622,248,0.31319358816276205,0.25462392108508014,0.0555222443327282,0.042419747591118565,0.07007507025904203
0.3,zfp_vs_sperr,certified_at_0.01 | both eligible_A1_at_0.01=TRUE,material-mean certification-rate difference zfp-sperr,1543,229,0.6973428386260532,0.6046662346079067,0.10628020693522877,0.08262718813210079,0.12916302765647744
0.3,zfp_vs_sperr,certified_at_0.01_ignoring_eligibility,material-mean certification-rate difference zfp-sperr,1622,248,0.6726263871763255,0.5770653514180024,0.10783439231019877,0.08531485287785691,0.13110290331308472
0.3,sz3_vs_sperr,Bader_error_fixed_e,material-median ratio sz3/sperr,1848,254,0.00024414631133535,1.8487504053865678e-05,10.774690116694826,10.114998517284501,11.41847427280604
0.3,sz3_vs_sperr,Bader_error_resolved_e,material-median ratio sz3/sperr,1848,254,0.004860170924649351,0.0044919420803597,1.0325070260736608,0.9762380496022375,1.0716556526466035
0.3,sz3_vs_sperr,compression_ratio,material-median ratio sz3/sperr,1848,254,35.861785027145686,9.95661057623849,3.5819085179736745,3.3481346544661936,3.816413354001704
0.3,sz3_vs_sperr,bits_per_value,material-median ratio sz3/sperr,1848,254,1.784629539207176,6.427893763472467,0.2791807761091875,0.2620261243325357,0.2986737700845051
0.3,sz3_vs_sperr,certified_at_0.0001 | both eligible_A1_at_0.0001=TRUE,material-mean certification-rate difference sz3-sperr,456,46,0.12938596491228072,0.16447368421052633,-0.03326196750109794,-0.059976257136583215,-0.007717803030303035
0.3,sz3_vs_sperr,certified_at_0.0001_ignoring_eligibility,material-mean certification-rate difference sz3-sperr,1848,254,0.039502164502164504,0.05357142857142857,-0.010407931963050074,-0.01717249832407313,-0.004311318329526992
0.3,sz3_vs_sperr,certified_at_0.001 | both eligible_A1_at_0.001=TRUE,material-mean certification-rate difference sz3-sperr,1329,143,0.3476297968397291,0.3935289691497366,-0.04838747111474384,-0.06566605112059658,-0.029937871471962384
0.3,sz3_vs_sperr,certified_at_0.001_ignoring_eligibility,material-mean certification-rate difference sz3-sperr,1848,254,0.2527056277056277,0.2884199134199134,-0.030077348286009702,-0.04094875214461829,-0.019768899626183094
0.3,sz3_vs_sperr,certified_at_0.01 | both eligible_A1_at_0.01=TRUE,material-mean certification-rate difference sz3-sperr,1754,229,0.6510832383124288,0.6539338654503991,-0.014820853576312092,-0.03592243394645142,0.006570863028286595
0.3,sz3_vs_sperr,certified_at_0.01_ignoring_eligibility,material-mean certification-rate difference sz3-sperr,1848,254,0.6195887445887446,0.6228354978354979,-0.014215126518276125,-0.03416786680074082,0.004386994239356434
