material_id,domain,formula,npoints,natoms,value_ptp,electrons_per_cell,float32_field_rel_error,floor_resolved_e,floor_fixed_e,n_voxels_reassigned,frac_voxels_reassigned,bader_seconds,sha256,corpus
mp-1207275,bulk,Dy3(In2Co)2,806400,9,2280.030189337,96.99999986010548,5.3301103438275816e-08,4.8102162253371725e-09,4.8102162253371725e-09,0,0.0,0.45,335cfe503699a0d96b45891b63d7736e371dfcca0f18d583177f3f65a1c7b21b,dev_bulk
mp-1209117,bulk,SNF3,1555200,20,5860.048328149,128.0000115524876,4.1634682178977976e-08,2.72002598222798e-09,2.72002598222798e-09,0,0.0,0.77,ebb22b32f51fbcde23f5a5430cdb8e702de51933c7326f9ae596a914ed96acbf,dev_bulk
mp-1209933,bulk,Nd9Ga4,2457600,13,5869.658981509,150.9999990240625,4.1555863960399266e-08,2.1901218616449114e-09,2.1901218616449114e-09,0,0.0,1.12,6cb1278e0b7b729187b43f4eee3a0dc7309a8c8207626b270f51def9a1850745,dev_bulk
mp-1211145,bulk,LiSm(MoO4)2,1290240,24,2513.8046524874,171.99999910254806,4.8527040358313434e-08,6.432903410846791e-06,4.217385551896768e-09,2,1.5500992063492063e-06,0.62,17d71c61406e76c2afb59eef7381dfdcc53bdcfac4c0832164f7a60a375ca0a6,dev_bulk
mp-1211797,bulk,La5CoGe3,2116800,18,9860.52445172,211.9999958080004,4.939265675057127e-08,3.469775234599126e-05,4.606970804843513e-09,5,2.362055933484505e-06,2.56,9a1d965ae7dfcd25e6bd19980b939f2ffcd2a0920aaffbd34ddeae543eda81b1,dev_bulk
mp-1213918,bulk,Ce2FeP2O,497664,6,2884.198763059,54.00000011041538,3.995477055491518e-08,8.412966323589899e-09,8.412966323589899e-09,0,0.0,0.66,21455a258526381d365aceb5d5bf42a6b9574186a69c9eb34278c00461d27fe4,dev_bulk
mp-1215324,bulk,ZrVCo,819200,12,2193.46793927,128.0000022329261,5.5066909171203094e-08,5.865960162054762e-09,5.865960162054762e-09,0,0.0,0.45,d0353db99617d7628fafa197804dc79411d64681f4e2ef5107fa0bbcf13f2a9c,dev_bulk
mp-1218887,bulk,SnTePbSe,497664,4,1651.670875081,40.00000006114194,3.63211738546642e-08,1.0771316283353372e-08,1.0771316283353372e-08,0,0.0,0.42,f56034a57d3a26f658b73da28e67040b9f1391a10276cb1d63d3df4cb0469f98,dev_bulk
mp-1219705,bulk,PrY,301056,2,389.9217585244,22.00000002409994,3.9102596335030376e-08,3.085691702153781e-09,3.085691702153781e-09,0,0.0,0.18,0b4695151cdbf7660177512b65a2865a35d3c0868efecc32b38d93e75dc3c5cf,dev_bulk
mp-1222924,bulk,LaCeOs4,512000,6,1016.200456249,79.0000027507635,3.00279091695962e-08,0.0002293312593621,5.171271411086309e-09,6,1.171875e-05,0.7,4ab808b785f4d5d4bd4eb18b58f139dcaf3a9c6e86a8aeb1792e82c767be99ba,dev_bulk
mp-1223327,bulk,La2CO5,864000,16,2008.152223895,112.0000000292052,3.0390966746527525e-08,2.748166302435351e-05,3.0796059036219962e-09,1,1.1574074074074074e-06,1.07,7f8ceb74d4a10f50068d6dc801329e10c902cb95058856b1721917fcfd8ee502,dev_bulk
mp-1223939,bulk,InMo6(SeS)4,1080000,15,3776.150266709,132.9999996931628,3.229231262246989e-08,2.048997416181919e-09,2.048997416181919e-09,0,0.0,1.04,af186ef257f1c4032f9b118cca91f419f112885000ff0511555061d3c99d7c7f,dev_bulk
mp-1224859,bulk,GaNi4Ge3,373248,8,3210.384948593,119.00000046395002,3.8021141356897884e-08,6.301586807921922e-09,6.301586807921922e-09,0,0.0,0.19,ad6e8e37f11e400b0fe077ef15542b18764c5b9b47e5c6a95949d7e22949ead7,dev_bulk
mp-1225264,bulk,Fe3Cu(SnS4)2,1259712,14,10223.635531023,135.00000023605287,4.7571140263228824e-08,1.3257729456483958e-05,4.915291285101375e-09,1,7.938322410201696e-07,1.19,58a7699d464d66d35d95678f058b95250e374b0be566a1b6ef916134bb28de53,dev_bulk
mp-1226636,bulk,CeB2Ir2Rh,338688,6,1092.34329734,51.00000005535272,5.037907965326723e-08,7.298041282410851e-09,7.298041282410851e-09,64,0.0001889644746787,0.45,b245423fe239bbb7d1ae5f271e7432fa403f1d238036f15be0b019470aadc4e2,dev_bulk
mp-1228245,bulk,BaLa4Ti4O15,2540160,48,5585.010690579999,368.00000153139626,4.371186797195929e-08,4.2764796148730966e-09,4.2764796148730966e-09,0,0.0,2.31,0aae4f9cc341c1e5008ba645acea7cc3c4f5d0a41734903caf425ba835cdf76b,dev_bulk
mp-1232323,bulk,Cu(BiO2)2,1259712,7,3936.8244431347,51.00000002633836,3.0952135896664715e-08,2.30069119311338e-09,2.30069119311338e-09,0,0.0,1.38,3172d97aa9f5a32e71c0556c9cdbe49daaf0ebd1b3fccce88b685810b72465e1,dev_bulk
mp-12406,bulk,US3,1105920,8,565.0726647639999,63.99999942178536,5.365543333696396e-08,1.7792771700442243e-09,1.7792771700442243e-09,0,0.0,1.11,7bea561f081682ac733ebc68f6bfc3096551f4765c3bd88632347a8b412b6e31,dev_bulk
mp-1245841,bulk,K6MoN4,1638400,22,2842.472434226,172.0000021340256,4.277306208850605e-08,4.260993939908531e-06,1.2356174750038916e-08,1,6.103515625e-07,0.78,f7343837b4ba6e6c817b8567a78409703a354e31ac41114a1bf34aca60b4b492,dev_bulk
mp-1246480,bulk,CoGeN2,368640,8,1456.6898683722,66.0000000394712,4.1886489638893377e-08,2.182774849757152e-09,2.182774849757152e-09,0,0.0,0.25,fa85a4272fb42b4ad72882e4e10323016eba3009001a5b0ca04ed949ac859568,dev_bulk
mp-1246536,bulk,Co11(CN5)2,1769472,46,4155.498560183,314.0000061192507,5.801800841818496e-08,2.9536852963474303e-09,2.9536852963474303e-09,0,0.0,1.06,2849a22a647ed87f59ea0afceb23f839a59cf4303af3720c41567ec498b8d46e,dev_bulk
mp-1246548,bulk,In(FeN)2,322560,5,1304.0948437405,51.00000010302107,4.6769748145960135e-08,5.640883316004874e-09,5.640883316004874e-09,0,0.0,0.22,d42d3a3bd0707e5f77ff1b8b763cfe0f913be6d72c10af90a3869fc5faa8e8a0,dev_bulk
mp-1247173,bulk,Mg2Mn3AlS8,1259712,14,5126.739234906,106.00000315077456,4.7617986539840003e-08,7.196529594466483e-09,7.196529594466483e-09,0,0.0,0.99,3d9be4f37fd46bb4aaa34821d91362a14ad71d617d4bcdabd16b63580dc96f28,dev_bulk
mp-1261118,bulk,Zr4AlNi2,2744000,28,17727.711989511,332.00000181716587,5.4892870544535134e-08,7.274349814245795e-05,1.0341750567022244e-08,2,7.28862973760933e-07,1.3,fc2f578a7486fbba0472f3b54455e4270648013ecfe0fdf863811fdd7578f97a,dev_bulk
mp-1296,bulk,ErB6,216000,7,237.9133378935,27.0000000339276,3.1810427555631225e-08,1.1465163929358368e-08,1.1465163929358368e-08,0,0.0,0.56,cd0ff2edc30a2f04d275d6e14c477b8405994c2da824d94702b06fc23a566a8d,dev_bulk
mp-1300873,bulk,MoO4,672000,10,1404.49964916878,72.00000011925356,4.3365087320587686e-08,2.689013456347311e-09,2.689013456347311e-09,0,0.0,0.41,7e271452ad9056859d9800550343c1971f56a92cd8eed86c67dff9d41d658b2c,dev_bulk
mp-1303576,bulk,LiCo(CO3)2,2048000,40,4538.117609714401,223.9999997841516,5.368690738322884e-08,4.343815085405822e-09,4.343815085405822e-09,0,0.0,0.95,c444bd258e072c3792e17f9b0fb893be510c75c57a19fcf5067e293db899150b,dev_bulk
mp-1369222,bulk,Mn2Nb2O9,1382400,26,5225.1265948653,204.0000041746337,4.6624468372415656e-08,0.0007354510179489,5.09082376254355e-09,27,1.953125e-05,0.65,281d5ff10b811c74c26569020538710d02b5f77eff233d7930957c9d66fa673c,dev_bulk
mp-1388393,bulk,YCr2O4,884736,14,2277.4725634495,118.00000021567212,5.356266493915857e-08,0.0001228666866586,5.741677355786123e-09,20,2.2605613425925925e-05,0.43,d32d1ff6ec2b830815261ec856c74ad9e2c1132ae6de1f8b771c90d534836bd5,dev_bulk
mp-1399089,bulk,Zn2MoWO6,537600,10,2291.9950094137,84.00000012925277,5.24774811907589e-08,1.6821823933810263e-09,1.6821823933810263e-09,0,0.0,0.28,cba1bd5f13608748c451fed670e3ef19743c1a423be7d2275ef58b8ee979506c,dev_bulk
mp-1666665,bulk,Li7Mn5O12,1843200,48,7627.030324878,316.0000023860447,3.1999676141121993e-08,3.7165186483889556e-09,3.7165186483889556e-09,0,0.0,0.82,6808bf594f1d30db152a7af0671ec1103e04aca175339362fe19de5a7f5a0be2,dev_bulk
mp-17103,bulk,Sr3Ta6(Si2O13)2,2352000,39,4551.174548761,268.0000034037078,5.3569962560271634e-08,0.0006471057725425,4.118156482491031e-09,486,0.0002066326530612,0.99,4bef719999e5f7aacf14b6ac3beb3fd3e1abffef6be49266bdbda417c11b940f,dev_bulk
mp-1778,bulk,BeO,110592,2,208.38951782433,9.99999923108501,3.659594306821316e-08,3.4366420820219905e-09,3.4366420820219905e-09,0,0.0,0.06,26d62af5fbe83da40debb04fd5fdb371abb62ee6933cc3459c99a22df278b576,dev_bulk
mp-1841520,bulk,Ba2Ca3Tl2(FeO3)4,1152000,23,6999.0837648908,203.9999978194836,3.485188324910849e-08,0.0002152279872644,1.1876217342887685e-08,21,1.8229166666666668e-05,1.14,554f15d0b0bc9deefc03d38d7671eb9959a65487762d071b1c5e624aac78fe52,dev_bulk
mp-19133,bulk,YVO4,884736,12,1953.4219174074,91.99999900289204,3.1239250909889727e-08,4.52600381928292e-05,3.336637632855854e-09,4,4.521122685185185e-06,0.45,2866c9aa384806650bf6267a39df97d0149a9b233b793e50eeae0b1f7d741d36,dev_bulk
mp-20888,bulk,TmGeRu,839808,12,4201.679079328001,148.00000048090786,5.7996159520837164e-08,5.215181175799444e-09,5.215181175799444e-09,0,0.0,0.43,d9d4542aa5128513560cec6b56ce9e546d5f6284207024dfdc2be0b1fe144e33,dev_bulk
mp-21054,bulk,PrSnPd,921600,9,2645.856535763,104.99999817240688,4.6028336552022444e-08,0.0002819716391115,3.866414743924906e-09,68,7.378472222222222e-05,0.45,7ece2845adc58fcbe2b9e6954ce77ff8359e96bd55f0dc274c1cb535a38951c8,dev_bulk
mp-21079,bulk,Tb(GeRu)2,393216,5,1718.9386343162,65.00000100953405,3.536157352911989e-08,1.6555343762547634e-09,1.6555343762547634e-09,0,0.0,0.21,ce665a4e19ebaf757ee3f7f933716dce43560865d2b960551df4f50cdf1892e1,dev_bulk
mp-214,bulk,ZrRu,175616,2,273.7403698186,26.000000014321483,5.2411090345203157e-08,1.3769890117032446e-08,1.3769890117032446e-08,0,0.0,0.1,433d356350ba41e0f68382a709b470c7a0eb59ba3a06004be6114b1ad9899700,dev_bulk
mp-21588,bulk,Sc2Fe3Si5,2048000,40,11404.86201,336.00000250081683,4.259477219236002e-08,1.040023178688898e-08,1.040023178688898e-08,0,0.0,1.48,a7e8e3fb1cf036c42f9ebfd94d430b5f50516582fd1aefb7ea20d845c9d7019b,dev_bulk
mp-2194,bulk,TiSe2,491520,3,661.052635149,21.999999817756866,4.603406125565193e-08,0.000272789643974,4.3773180635753314e-09,16,3.255208333333333e-05,0.29,8b93abd3b9c041f65c2411ffe6b6559b95d047abc94eaa41e7bbc21f566d59ca,dev_bulk
mp-2216496,bulk,MgCr2Fe3Ni(PO4)6,2293760,37,14160.45290654,264.00000275486866,3.4467471024396615e-08,2.9754829711237103e-09,2.9754829711237103e-09,0,0.0,1.61,b1d27f07d8597758974556ba829d20c6ab900ef1a426af1ad2a5039d4eb2430c,dev_bulk
mp-2217743,bulk,MgTi2Mn2O6,829440,11,2362.4012697969097,90.00000046828079,5.1643692586415226e-08,2.4505011353426202e-09,2.4505011353426202e-09,0,0.0,0.45,161a96caa517f7401f8b8bcb5e89e85962363d2bb6f65f9d05a268e40f3c6ef2,dev_bulk
mp-2227467,bulk,Sr2MgTiO4,432000,8,2351.7863999045003,61.99999947755115,4.926042600378187e-08,9.040686421712962e-09,9.040686421712962e-09,0,0.0,0.26,ad07fbb2a54b4fd56b2059052013ecc64490d140f0fe3f3d4d7d5c71369d1f06,dev_bulk
mp-2229431,bulk,Rb4MgV2(CuS4)2,1632960,17,18045.10404076,148.00000106576817,5.043611817007952e-08,3.1492390917264852e-09,3.1492390917264852e-09,0,0.0,2.39,c7fd7e932b62d92064fd3659d4b362a0b26903be10bf639bb9d9c4c0e54ec188,dev_bulk
mp-2230770,bulk,MgFe6(O3F)3,903168,19,4496.7024428737,167.0000038903259,5.4235576612475046e-08,3.005101808817301e-05,6.983174927199798e-09,4,4.428854875283447e-06,0.46,752585ef57446d1ee41674411f4eb9a3eea0bce12a05d03868a1e33c1ac42825,dev_bulk
mp-2233790,bulk,Mg(BiO2)4,1097600,13,5210.045502983,75.99999783097635,4.58753191163786e-08,2.940096166526018e-09,2.940096166526018e-09,0,0.0,0.66,0ad3b27552940ad401435ba05b6a93b4ec1f493a86118b2a101e24cd315192ad,dev_bulk
