material_id,domain,formula,stability_floor_e,threshold_e,status,reason
nomad-0J594sjoAqDW,slab,Co20H1,5.785642e-09,0.0001,ELIGIBLE,
nomad-0JxkdxfFTtnZ,slab,Co20O1,2.623443e-09,0.0001,ELIGIBLE,
nomad-0kvBRPSc8RU6,slab,Sc20,5.221229e-05,0.0001,ELIGIBLE,
nomad-0pSeEEz7rc0X,slab,Fe20,5.920215e-04,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 5.920e-04 >= threshold 0.0001
nomad-0xMhYZKiiVKL,slab,Fe20O1,4.393145e-09,0.0001,ELIGIBLE,
nomad-19wSfSWChOSI,slab,Fe20,4.327044e-09,0.0001,ELIGIBLE,
nomad-1CIlfNcWTE4X,slab,Ga15N15H3H3,8.523022e-09,0.0001,ELIGIBLE,
nomad-1DBJPWgjPfWO,slab,Ti20Cl1,7.901621e-05,0.0001,ELIGIBLE,
nomad-1Few3hG0Dkat,slab,Fe20O1,3.704564e-05,0.0001,ELIGIBLE,
nomad-1iTKfRU16qFo,slab,Sc20H1,1.909272e-05,0.0001,ELIGIBLE,
nomad-1sSuZTi8blPO,slab,Ti20H1,2.465350e-03,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 2.465e-03 >= threshold 0.0001
nomad-1urv55npagDc,slab,Ga14N14,7.463901e-09,0.0001,ELIGIBLE,
nomad-1xNwoQ8q8XXI,slab,Co20Cl1,3.232499e-09,0.0001,ELIGIBLE,
nomad-28WEed2y6N1X,slab,Sc20H1,1.705428e-05,0.0001,ELIGIBLE,
nomad-2C9dg1L8liw7,slab,Ti20H1,1.097649e-03,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 1.098e-03 >= threshold 0.0001
nomad-2iwRdQb9gzT1,slab,V20,1.429864e-03,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 1.430e-03 >= threshold 0.0001
nomad-3ermMygSkKxT,slab,H3C1O31Ru16,1.547288e-05,0.0001,ELIGIBLE,
nomad-3Rqsfa2-hyu7,slab,Ti20O1,3.870710e-09,0.0001,ELIGIBLE,
nomad-4BR68d4gtTyq,slab,Ga20N22H2H2,8.024839e-09,0.0001,ELIGIBLE,
nomad-4CA6DwNaypkT,slab,Pd20,1.026812e-02,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 1.027e-02 >= threshold 0.0001
nomad-4hOaTvLmAUuc,slab,Cu20O1,2.255106e-03,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 2.255e-03 >= threshold 0.0001
nomad-4khM-ZQ6rM_L,slab,Fe20Cl1,6.521960e-09,0.0001,ELIGIBLE,
nomad-4TmN2lwz6DHx,slab,Ti20H1,2.365846e-09,0.0001,ELIGIBLE,
nomad-4U-g_t9kIPQS,slab,Sc20H1,4.430783e-09,0.0001,ELIGIBLE,
nomad-5_7vAQzUevH0,slab,Zn20Cl1,8.823594e-03,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 8.824e-03 >= threshold 0.0001
nomad-5HCYH3PtBIoR,slab,Sc20Cl1,1.792029e-05,0.0001,ELIGIBLE,
nomad-61GFUgm3lTUg,slab,Ru16C3O33,3.464618e-04,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 3.465e-04 >= threshold 0.0001
nomad-6o4AmsigmNP5,slab,H1C3O34Ru16,2.450082e-04,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 2.450e-04 >= threshold 0.0001
nomad-6x45-ylTvOvZ,slab,Ga16N16H2H2,8.019008e-09,0.0001,ELIGIBLE,
nomad-7OdXN2bFHmUg,slab,Ru16C4O35H1,1.297813e-04,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 1.298e-04 >= threshold 0.0001
nomad-8eTSyDPSGSwy,slab,H3C4O35Ru16,3.249701e-09,0.0001,ELIGIBLE,
nomad-8Hl4JATTj5Fp,slab,Cr20,4.144677e-05,0.0001,ELIGIBLE,
nomad-8tU1rEspJ26T,slab,Sc20,6.708390e-03,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 6.708e-03 >= threshold 0.0001
nomad-8ZPelCNdN_TR,slab,Mn20O1,1.063155e-04,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 1.063e-04 >= threshold 0.0001
nomad-9jQMkfdCbgX_,slab,Co20,1.143649e-03,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 1.144e-03 >= threshold 0.0001
nomad-9xtsrVZD5SSK,slab,Ga11N11,2.290547e-05,0.0001,ELIGIBLE,
nomad-A5zDMCxBBUYc,slab,Fe20O1,7.004302e-04,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 7.004e-04 >= threshold 0.0001
nomad-AUrOZMeLzRg5,slab,V20O1,2.644435e-05,0.0001,ELIGIBLE,
nomad-BbyKgzzvPkrI,slab,O31Ru16,5.311877e-09,0.0001,ELIGIBLE,
nomad-BiuRBghVF7ns,slab,Pt20O1,7.994711e-04,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 7.995e-04 >= threshold 0.0001
nomad-BMoyqNd6y06X,slab,Ru16C4O34H3,1.253597e-04,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 1.254e-04 >= threshold 0.0001
nomad-CHORxT-fP4dV,slab,Ga10N11H1,5.955879e-04,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 5.956e-04 >= threshold 0.0001
nomad-E0rr8BI_hRlR,slab,Ru16C3O34H1,3.950193e-09,0.0001,ELIGIBLE,
nomad-Ek0B30z0bVyP,slab,Ru16C4O34H3,4.367292e-09,0.0001,ELIGIBLE,
nomad-FPTBoTAPMQA8,slab,Ga15N15H2H1,1.000163e-08,0.0001,ELIGIBLE,
nomad-FVlJ8rpkyGT5,slab,Ga15N15,6.813892e-09,0.0001,ELIGIBLE,
nomad-M8BV9zowas8w,slab,H4C1O31Ru16,4.389401e-09,0.0001,ELIGIBLE,
nomad-MgLl-OZz9clr,slab,Ga2N2,2.757427e-05,0.0001,ELIGIBLE,
nomad-Q4xDULo89hwd,slab,Ga22N22,9.423415e-09,0.0001,ELIGIBLE,
nomad-SzuB_oB4XzfT,slab,Ga22N22H2H2,4.457149e-09,0.0001,ELIGIBLE,
nomad-VNlX3_0OCG9w,slab,Ga11N10H1,6.216520e-04,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 6.217e-04 >= threshold 0.0001
nomad-VyA9ivUfcKNR,slab,H3C1O32Ru16,3.940942e-09,0.0001,ELIGIBLE,
nomad-WjYAcipcgiRI,slab,Ga16N14H2,1.069737e-08,0.0001,ELIGIBLE,
nomad-Z7Uu-1P6k4r9,slab,Ru16C4O34H4,3.405137e-09,0.0001,ELIGIBLE,
nomad-ZvTQv6REajO4,slab,H1C1O32Ru16,3.006338e-06,0.0001,ELIGIBLE,
mp-1007755,bulk,HfAu,5.933671e-10,0.001,ELIGIBLE,
mp-1009084,bulk,BeSnAs2,1.135122e-09,0.001,ELIGIBLE,
mp-1025517,bulk,Ti2InN,2.406184e-09,0.001,ELIGIBLE,
mp-1036731,bulk,HfMg30VO32,9.324901e-09,0.001,ELIGIBLE,
mp-1038991,bulk,CaMg2,6.385388e-09,0.001,ELIGIBLE,
mp-1039028,bulk,CaMg5,3.089232e-04,0.001,ELIGIBLE,
mp-1041800,bulk,Zn(WO2)2,6.372613e-09,0.001,ELIGIBLE,
mp-1044003,bulk,MgCuBiO5,2.604445e-09,0.001,ELIGIBLE,
mp-1044463,bulk,BaCa(CoO2)4,1.436243e-05,0.001,ELIGIBLE,
mp-1046632,bulk,Sr2CoSO3,6.515264e-09,0.001,ELIGIBLE,
mp-1065204,bulk,CrAgS2,1.576456e-09,0.001,ELIGIBLE,
mp-1069461,bulk,HoSi3Ir,5.311334e-10,0.001,ELIGIBLE,
