material_id,domain,stability_floor_A1_e,npoints,natoms,corpus
nomad-VNlX3_0OCG9w,slab,0.000634129210475,1474560,22,dev_slab
nomad-VyA9ivUfcKNR,slab,0.0004218776990363,3870720,52,dev_slab
nomad-WjYAcipcgiRI,slab,8.776667026744178e-05,1720320,32,dev_slab
nomad-Z7Uu-1P6k4r9,slab,0.0009392783064514,3870720,58,dev_slab
nomad-ZvTQv6REajO4,slab,6.672043451239063e-05,3870720,50,dev_slab
nomad2d--B4E6JXJAJsP,vacuum2d,0.0005886594184012,746496,6,ext_vacuum2d
nomad2d--GTGzWfdnZfM,vacuum2d,0.0003110980588258,1032192,4,ext_vacuum2d
nomad2d--oZxTxEUsVxM,vacuum2d,0.0003835636268529,1204224,6,ext_vacuum2d
nomad2d--poJgwk5QnYH,vacuum2d,0.0020147129668668,1204224,6,ext_vacuum2d
nomad2d-01AsrYzXZ0cy,vacuum2d,0.0010004332070074,1128960,6,ext_vacuum2d
nomad2d-03AViAQBOpvV,vacuum2d,0.0005582175965566,1204224,6,ext_vacuum2d
nomad2d-06Maeq8yNQaK,vacuum2d,0.0001022354680664,829440,6,ext_vacuum2d
nomad2d-0J6F9ROgTdMT,vacuum2d,0.001046491761933,829440,6,ext_vacuum2d
nomad2d-0KKvLZ7KNaqG,vacuum2d,3.186000119548282e-05,688128,4,ext_vacuum2d
nomad2d-0XHkHlmw3DQ_,vacuum2d,5.938243122471931e-05,442368,2,ext_vacuum2d
nomad2d-0a2YWO4Ir7mi,vacuum2d,7.83474882712909e-05,451584,3,ext_vacuum2d
nomad2d-0qZgP0AV8Gk8,vacuum2d,0.0002928051406581,1204224,6,ext_vacuum2d
nomad2d-1M5XVUL3-6vX,vacuum2d,0.0001136171648106,384000,3,ext_vacuum2d
nomad2d-1_3Aeqri4-hc,vacuum2d,0.0012802870748647,1204224,6,ext_vacuum2d
nomad2d-25gGmM0frydq,vacuum2d,0.0008789376316116,829440,6,ext_vacuum2d
nomad2d-2A-QzAIQ7zUi,vacuum2d,0.0039794560905255,589824,3,ext_vacuum2d
nomad2d-2H4rlyMxb2Lt,vacuum2d,0.0001253402866527,1204224,6,ext_vacuum2d
