material_id,domain,seed,npoints,natoms,probe_linf,probe_rel_error,floor_f32_resolved_e,floor_noise_resolved_e,floor_noise_fixed_e,n_voxels_reassigned_f32,n_voxels_reassigned_noise,n_axis_order_flips_f32,n_axis_order_flips_noise,corpus
mp-1044463,bulk,20260905,768000,14,6.1031249970255885e-05,3.255700741574062e-08,1.4362426531633332e-05,0.0012681833949281,1.96718321632261e-08,1,348,36,170,dev_bulk
mp-1044463,bulk,1,768000,14,6.1031249970255885e-05,3.255700741574062e-08,1.4362426531633332e-05,0.0015030091860817,2.192976911175037e-08,1,371,36,164,dev_bulk
mp-1044463,bulk,2,768000,14,6.1031249970255885e-05,3.255700741574062e-08,1.4362426531633332e-05,0.0011546783986897,2.3906991053479487e-08,1,323,36,147,dev_bulk
mp-1044463,bulk,3,768000,14,6.1031249970255885e-05,3.255700741574062e-08,1.4362426531633332e-05,0.0012049546446721,1.7557892029174127e-08,1,333,36,166,dev_bulk
mp-1044463,bulk,4,768000,14,6.1031249970255885e-05,3.255700741574062e-08,1.4362426531633332e-05,0.0014606538901933,2.0818613499784533e-08,1,349,36,159,dev_bulk
mp-1046632,bulk,20260905,777600,14,9.912812492984811e-05,4.4220483820159854e-08,6.515263883954958e-09,0.0002326640725467,3.904924739117632e-08,0,189,0,48,dev_bulk
mp-1046632,bulk,1,777600,14,9.912812492984811e-05,4.4220483820159854e-08,6.515263883954958e-09,0.0002561349776266,4.76256092341032e-08,0,203,0,43,dev_bulk
mp-1046632,bulk,2,777600,14,9.912812492984811e-05,4.4220483820159854e-08,6.515263883954958e-09,8.358240228556468e-05,3.9266820017758164e-08,0,188,0,46,dev_bulk
mp-1046632,bulk,3,777600,14,9.912812492984811e-05,4.4220483820159854e-08,6.515263883954958e-09,0.0002024302521173,5.168308891967399e-08,0,186,0,49,dev_bulk
mp-1046632,bulk,4,777600,14,9.912812492984811e-05,4.4220483820159854e-08,6.515263883954958e-09,0.0001777906821507,3.832431438866024e-08,0,212,0,44,dev_bulk
mp-1065204,bulk,20260905,1404928,4,3.050687496397586e-05,3.260676016921235e-08,1.5764562988351827e-09,1.5373704075116734e-05,1.5208479808848097e-08,0,7,0,56,dev_bulk
mp-1065204,bulk,1,1404928,4,3.050687496397586e-05,3.260676016921235e-08,1.5764562988351827e-09,2.7056110224243923e-05,6.898661197851652e-09,0,6,0,57,dev_bulk
mp-1065204,bulk,2,1404928,4,3.050687496397586e-05,3.260676016921235e-08,1.5764562988351827e-09,1.7162563468176018e-05,9.595185090915948e-09,0,6,0,54,dev_bulk
mp-1065204,bulk,3,1404928,4,3.050687496397586e-05,3.260676016921235e-08,1.5764562988351827e-09,2.0774605374640487e-05,7.95746224468985e-09,0,8,0,67,dev_bulk
mp-1065204,bulk,4,1404928,4,3.050687496397586e-05,3.260676016921235e-08,1.5764562988351827e-09,1.9301056655152134e-05,1.4918875024250156e-08,0,11,0,59,dev_bulk
mp-1069461,bulk,20260905,884736,5,7.62761717965077e-06,2.9076574498858237e-08,5.31133359515934e-10,0.000884859332537,2.744222626915871e-09,0,63,0,4,dev_bulk
mp-1069461,bulk,1,884736,5,7.62761717965077e-06,2.9076574498858237e-08,5.31133359515934e-10,0.0008713611645507,1.1153709067457383e-09,0,120,0,4,dev_bulk
mp-1069461,bulk,2,884736,5,7.62761717965077e-06,2.9076574498858237e-08,5.31133359515934e-10,0.0009160264080643,9.861096383900756e-10,0,60,0,3,dev_bulk
mp-1069461,bulk,3,884736,5,7.62761717965077e-06,2.9076574498858237e-08,5.31133359515934e-10,0.0010995194244669,5.619316567617716e-09,0,76,0,3,dev_bulk
mp-1069461,bulk,4,884736,5,7.62761717965077e-06,2.9076574498858237e-08,5.31133359515934e-10,0.0009459158790114,1.0057924271222872e-08,0,63,0,4,dev_bulk
mp-10761,bulk,20260905,327680,4,6.1031249970255885e-05,3.8702264386892254e-08,6.157678811291589e-09,0.0015882589562892,1.976660701785704e-08,0,77,330,2833,dev_bulk
mp-10761,bulk,1,327680,4,6.1031249970255885e-05,3.8702264386892254e-08,6.157678811291589e-09,0.0006887856685544,2.6697918542595292e-08,0,39,330,2879,dev_bulk
mp-10761,bulk,2,327680,4,6.1031249970255885e-05,3.8702264386892254e-08,6.157678811291589e-09,0.0016363747880578,3.1063821737120634e-08,0,73,330,2826,dev_bulk
