material_id,stratum,domain,stability_floor_a1_e,n_seeds,floor_min_over_seeds_e,stability_floor_a_e,threshold_e,status,reason,status_under_protocol_a
aflow-Ce1O4Sr2_ICSD_86768,ext_bulk,bulk,0.0006855912,5,0.0001832191,1.831019e-09,0.001,ELIGIBLE,,ELIGIBLE
aflow-Ce1O4Sr2_ICSD_86768,ext_bulk,bulk,0.0006855912,5,0.0001832191,1.831019e-09,0.01,ELIGIBLE,,ELIGIBLE
aflow-Cl1H2Nd1O2_ICSD_20047,ext_bulk,bulk,7.371478e-05,5,4.309788e-05,5.954462e-09,0.0001,ELIGIBLE,,ELIGIBLE
aflow-Cl1H2Nd1O2_ICSD_20047,ext_bulk,bulk,7.371478e-05,5,4.309788e-05,5.954462e-09,0.001,ELIGIBLE,,ELIGIBLE
aflow-Cl1H2Nd1O2_ICSD_20047,ext_bulk,bulk,7.371478e-05,5,4.309788e-05,5.954462e-09,0.01,ELIGIBLE,,ELIGIBLE
aflow-Cl1O12Pb5V3_ICSD_203074,ext_bulk,bulk,0.00355474,5,0.002572705,1.705969e-08,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 3.555e-03 >= threshold 0.0001,ELIGIBLE
aflow-Cl1O12Pb5V3_ICSD_203074,ext_bulk,bulk,0.00355474,5,0.002572705,1.705969e-08,0.001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 3.555e-03 >= threshold 0.001,ELIGIBLE
aflow-Cl1O12Pb5V3_ICSD_203074,ext_bulk,bulk,0.00355474,5,0.002572705,1.705969e-08,0.01,ELIGIBLE,,ELIGIBLE
aflow-Co2Nd1_ICSD_154732,ext_bulk,bulk,0.0002015483,5,0.0001036489,3.366829e-09,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 2.015e-04 >= threshold 0.0001,ELIGIBLE
aflow-Co2Nd1_ICSD_154732,ext_bulk,bulk,0.0002015483,5,0.0001036489,3.366829e-09,0.001,ELIGIBLE,,ELIGIBLE
aflow-Co2Nd1_ICSD_154732,ext_bulk,bulk,0.0002015483,5,0.0001036489,3.366829e-09,0.01,ELIGIBLE,,ELIGIBLE
aflow-Cr1Sb1_ICSD_626687,ext_bulk,bulk,0.001236227,5,0.0002865166,2.36099e-09,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 1.236e-03 >= threshold 0.0001,ELIGIBLE
aflow-Cr1Sb1_ICSD_626687,ext_bulk,bulk,0.001236227,5,0.0002865166,2.36099e-09,0.001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 1.236e-03 >= threshold 0.001,ELIGIBLE
aflow-Cr1Sb1_ICSD_626687,ext_bulk,bulk,0.001236227,5,0.0002865166,2.36099e-09,0.01,ELIGIBLE,,ELIGIBLE
aflow-Cs1In3_ICSD_102867,ext_bulk,bulk,0.002919353,5,0.00145338,0.001808777,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 2.919e-03 >= threshold 0.0001,NON_EVALUABLE_BADER_UNSTABLE
aflow-Cs1In3_ICSD_102867,ext_bulk,bulk,0.002919353,5,0.00145338,0.001808777,0.001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 2.919e-03 >= threshold 0.001,NON_EVALUABLE_BADER_UNSTABLE
aflow-Cs1In3_ICSD_102867,ext_bulk,bulk,0.002919353,5,0.00145338,0.001808777,0.01,ELIGIBLE,,ELIGIBLE
aflow-Cu1Hf1Hg2_ICSD_102969,ext_bulk,bulk,0.0002937199,5,5.723887e-05,1.00764e-08,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 2.937e-04 >= threshold 0.0001,ELIGIBLE
aflow-Cu1Hf1Hg2_ICSD_102969,ext_bulk,bulk,0.0002937199,5,5.723887e-05,1.00764e-08,0.001,ELIGIBLE,,ELIGIBLE
aflow-Cu1Hf1Hg2_ICSD_102969,ext_bulk,bulk,0.0002937199,5,5.723887e-05,1.00764e-08,0.01,ELIGIBLE,,ELIGIBLE
aflow-Cu1Sb1Se2_ICSD_30358,ext_bulk,bulk,9.223263e-05,5,4.103264e-05,5.849351e-09,0.0001,ELIGIBLE,,ELIGIBLE
aflow-Cu1Sb1Se2_ICSD_30358,ext_bulk,bulk,9.223263e-05,5,4.103264e-05,5.849351e-09,0.001,ELIGIBLE,,ELIGIBLE
aflow-Cu1Sb1Se2_ICSD_30358,ext_bulk,bulk,9.223263e-05,5,4.103264e-05,5.849351e-09,0.01,ELIGIBLE,,ELIGIBLE
aflow-Er2O3_ICSD_419435,ext_bulk,bulk,0.001599269,5,0.000288694,4.547798e-09,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 1.599e-03 >= threshold 0.0001,ELIGIBLE
aflow-Er2O3_ICSD_419435,ext_bulk,bulk,0.001599269,5,0.000288694,4.547798e-09,0.001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 1.599e-03 >= threshold 0.001,ELIGIBLE
aflow-Er2O3_ICSD_419435,ext_bulk,bulk,0.001599269,5,0.000288694,4.547798e-09,0.01,ELIGIBLE,,ELIGIBLE
aflow-F2Mn1_ICSD_63569,ext_bulk,bulk,0.0030943,5,0.001796634,2.917547e-08,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 3.094e-03 >= threshold 0.0001,ELIGIBLE
aflow-F2Mn1_ICSD_63569,ext_bulk,bulk,0.0030943,5,0.001796634,2.917547e-08,0.001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 3.094e-03 >= threshold 0.001,ELIGIBLE
aflow-F2Mn1_ICSD_63569,ext_bulk,bulk,0.0030943,5,0.001796634,2.917547e-08,0.01,ELIGIBLE,,ELIGIBLE
aflow-H3Ni1Zr1_ICSD_658750,ext_bulk,bulk,0.006150924,5,0.002912549,3.081874e-08,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 6.151e-03 >= threshold 0.0001,ELIGIBLE
aflow-H3Ni1Zr1_ICSD_658750,ext_bulk,bulk,0.006150924,5,0.002912549,3.081874e-08,0.001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 6.151e-03 >= threshold 0.001,ELIGIBLE
