cohort,threshold_e,stratum,codec,n_admitted,n_non_evaluable,n_certified,frac_certified,ratio_median,ratio_median_ci_lo,ratio_median_ci_hi,ratio_p10,ratio_q1,ratio_q3,ratio_p90,n_row_failure_affected
external_confirmatory63,0.001,bulk,SZ3,21,15,21,1.0,9.827517047733654,8.242017976612049,16.81984421317387,3.812861025457749,6.1818466388668405,17.606643663372125,28.16561444161344,0
external_confirmatory63,0.001,bulk,SPERR,21,15,21,1.0,6.178560091102238,5.017549081168584,6.969208764681799,4.668515633904487,4.866432923696667,7.153991802717726,14.094056252953383,0
external_confirmatory63,0.001,vacuum2d,ZFP,21,6,21,1.0,25.584770969660916,24.788472622478388,30.203556472658857,18.5342219075616,23.70484687726067,30.680735962904617,44.69501327610664,0
external_confirmatory63,0.001,vacuum2d,SZ3,21,6,21,1.0,24.635388883916583,22.920464224365592,39.123050518618015,13.432824943620972,22.36802314399716,39.7374237557296,45.60546269046204,0
external_confirmatory63,0.001,vacuum2d,SPERR,21,6,20,0.9523809523809523,6.578980733437804,5.982092050118828,6.956723425249834,5.444083020117881,5.846318785366472,7.23294293233355,8.804180036758677,0
external_confirmatory63,0.01,overall,ZFP,57,6,57,1.0,40.57370989205974,35.401959751343384,46.028856825749166,19.08959568650746,28.5113596081338,53.01237406180269,64.73599291341074,2
external_confirmatory63,0.01,overall,SZ3,57,6,57,1.0,65.89190594093266,40.665658093797276,101.84744226203324,23.343662119015754,32.15762446715091,121.06708221278306,197.75246902966487,0
external_confirmatory63,0.01,overall,SPERR,57,6,57,1.0,10.816830876167996,10.179895909356041,12.438380381446686,8.028680331818496,9.287911655996552,14.669697413827562,49.772552263024934,0
external_confirmatory63,0.01,bulk,ZFP,30,6,30,1.0,28.542575215393896,23.114447769011317,33.46314203783385,16.97085081211129,21.828934884064875,35.621448613774305,49.30040597820272,1
external_confirmatory63,0.01,bulk,SZ3,30,6,30,1.0,32.96956042343869,26.523033591348508,39.628050115348444,17.764256192903368,25.57926533894463,45.163744439074655,87.00123745954974,0
external_confirmatory63,0.01,bulk,SPERR,30,6,30,1.0,13.137139627238746,9.806524071257417,22.7666784001098,7.496784024303515,8.980988943168992,26.72279769074114,65.48003464463756,0
external_confirmatory63,0.01,vacuum2d,ZFP,27,0,27,1.0,49.094722823372734,42.375395875853336,61.07231970788112,39.91978036461748,42.26017125317939,62.11247596366025,79.92741866828831,1
external_confirmatory63,0.01,vacuum2d,SZ3,27,0,27,1.0,115.21366233440071,101.84744226203324,158.42208834582917,68.70620336106059,90.15825849634828,178.11399518505945,214.6835382639282,0
external_confirmatory63,0.01,vacuum2d,SPERR,27,0,27,1.0,10.203478027061866,9.5966911918523,11.639512855209743,8.733145573549539,9.393373092445426,12.055127307217814,13.962150983331039,0
