material,domain,role,codec,relative_tolerance,comparison_solver,baderkit_error_e,comparison_error_e,comparison_over_baderkit,above_2e-6_print_region,baseline_max_abs_charge_diff_e,baseline_compatible_1e-3
nomad-9jQMkfdCbgX_,slab,high,ZFP,0.0001,henkelman_ongrid,0.023572438300000442,0.023571999999999704,0.9999814062510141,True,4.5469999854219623e-07,True
nomad-9jQMkfdCbgX_,slab,high,ZFP,0.0001,henkelman_neargrid,0.023572438300000442,0.028003,1.187955172206325,True,0.012875137500000022,False
nomad-9jQMkfdCbgX_,slab,high,ZFP,0.001,henkelman_ongrid,0.02273674959999994,0.02273699999999934,1.0000110130077433,True,4.5469999854219623e-07,True
nomad-9jQMkfdCbgX_,slab,high,ZFP,0.001,henkelman_neargrid,0.02273674959999994,0.027753000000000583,1.2206230216829523,True,0.012875137500000022,False
nomad-9jQMkfdCbgX_,slab,high,SZ3,0.0001,henkelman_ongrid,0.027299429499999306,0.027298999999999296,0.9999842670704892,True,4.5469999854219623e-07,True
nomad-9jQMkfdCbgX_,slab,high,SZ3,0.0001,henkelman_neargrid,0.027299429499999306,0.03281400000000012,1.2020031407616396,True,0.012875137500000022,False
nomad-9jQMkfdCbgX_,slab,high,SZ3,0.001,henkelman_ongrid,0.03755212219999926,0.04006199999999893,1.0668371759825526,True,4.5469999854219623e-07,True
nomad-9jQMkfdCbgX_,slab,high,SZ3,0.001,henkelman_neargrid,0.03755212219999926,0.04865399999999909,1.295639158311006,True,0.012875137500000022,False
nomad-9jQMkfdCbgX_,slab,high,SPERR,0.0001,henkelman_ongrid,0.027515680000000486,0.02751599999999854,1.0000116297325037,True,4.5469999854219623e-07,True
nomad-9jQMkfdCbgX_,slab,high,SPERR,0.0001,henkelman_neargrid,0.027515680000000486,0.027858999999999412,1.0124772493356122,True,0.012875137500000022,False
nomad-9jQMkfdCbgX_,slab,high,SPERR,0.001,henkelman_ongrid,0.3278443434000007,0.03092900000000043,0.09434050220065612,True,4.5469999854219623e-07,True
nomad-9jQMkfdCbgX_,slab,high,SPERR,0.001,henkelman_neargrid,0.3278443434000007,0.03480199999999911,0.10615403529332036,True,0.012875137500000022,False
nomad-8tU1rEspJ26T,slab,high,ZFP,0.0001,henkelman_ongrid,0.08714843259999938,0.021353000000001288,0.24501874976924645,True,0.06475879149999919,False
nomad-8tU1rEspJ26T,slab,high,ZFP,0.0001,henkelman_neargrid,0.08714843259999938,0.012722000000000122,0.14598082398558493,True,0.1110507915000003,False
nomad-8tU1rEspJ26T,slab,high,ZFP,0.001,henkelman_ongrid,0.03303295469999945,0.10798200000000158,3.2689173881258453,True,0.06475879149999919,False
nomad-8tU1rEspJ26T,slab,high,ZFP,0.001,henkelman_neargrid,0.03303295469999945,0.10464600000000068,3.1679273304607665,True,0.1110507915000003,False
nomad-8tU1rEspJ26T,slab,high,SZ3,0.0001,henkelman_ongrid,0.08432974960000017,0.1162920000000014,1.3790151227960146,True,0.06475879149999919,False
nomad-8tU1rEspJ26T,slab,high,SZ3,0.0001,henkelman_neargrid,0.08432974960000017,0.10804599999999986,1.2812323114024715,True,0.1110507915000003,False
nomad-8tU1rEspJ26T,slab,high,SZ3,0.001,henkelman_ongrid,0.3688229926000002,0.2791420000000002,0.7568454396842289,True,0.06475879149999919,False
nomad-8tU1rEspJ26T,slab,high,SZ3,0.001,henkelman_neargrid,0.3688229926000002,0.3002970000000005,0.8142035773937819,True,0.1110507915000003,False
nomad-8tU1rEspJ26T,slab,high,SPERR,0.0001,henkelman_ongrid,0.2397877091999998,0.14705700000000022,0.6132799737343683,True,0.06475879149999919,False
nomad-8tU1rEspJ26T,slab,high,SPERR,0.0001,henkelman_neargrid,0.2397877091999998,0.14463300000000068,0.6031710319204333,True,0.1110507915000003,False
nomad-8tU1rEspJ26T,slab,high,SPERR,0.001,henkelman_ongrid,5.507949591300001,0.2544240000000002,0.04619214387907104,True,0.06475879149999919,False
nomad-8tU1rEspJ26T,slab,high,SPERR,0.001,henkelman_neargrid,5.507949591300001,0.27326099999999975,0.04961210981880173,True,0.1110507915000003,False
