material_id,system_type,codec_a,codec_b,linf_a,linf_b,linf_ratio,abs_log10_linf_diff,qoi_a,qoi_b,qoi_ratio,ladder_a,ladder_b,nominal_rel_a,nominal_rel_b
mp-2240057,bulk,SZ3,ZFP,2.0454524976249218,2.459333270000002,0.8317101722553122,0.08002798683291112,0.0314375713253358,0.0244271877924546,1.2869910196967764,base,base,0.0003,0.003
mp-2242118,bulk,SZ3,ZFP,2.888716426367253,2.493765965999998,1.1583751104762874,0.06384921744860594,0.0468342927724609,0.0139325586822831,3.361499767592313,base,base,0.001,0.01
mp-2242118,bulk,SZ3,ZFP,8.666376303776214,9.768562100000054,0.887170109076357,0.0519930990521823,0.124096061077644,0.110333873835497,1.1247322038439964,base,base,0.003,0.03
mp-24407,bulk,SZ3,ZFP,0.367443424723664,0.4545587662499883,0.8083518612015623,0.09239955739946215,0.0035003236250421,0.0015212476281956,2.3009558471384075,base,base,0.0001,0.001
mp-24407,bulk,SZ3,ZFP,11.022617033572274,10.353531700000076,1.0646238745347343,0.02719620114016741,0.0444637321467542,0.012549593542678,3.5430416129051725,base,base,0.003,0.03
mp-24460,bulk,SZ3,ZFP,0.0123365853199928,0.0153954206250546,0.8013152495435018,0.09619659227758959,0.003284920841132,0.0031211928379786,1.0524568687846394,tight,base,1e-06,1e-05
mp-24460,bulk,SZ3,ZFP,12.336595807226033,10.937278811,1.1279401412734116,0.05228605265757258,0.0443083567999469,0.0364484559039031,1.215644276310814,base,base,0.001,0.01
mp-26341,bulk,SZ3,ZFP,2.788198984708515,2.628288600000019,1.0608420189124188,0.02565071338007019,0.0153667505560939,0.0070934791853591,2.1663206664242822,base,base,0.001,0.01
mp-26341,bulk,SZ3,ZFP,8.364629400680855,9.799148099999911,0.8536078152223182,0.0687416173741322,0.1456844274673248,0.0862762139339361,1.688581601168534,base,base,0.003,0.03
mp-26619,bulk,SZ3,ZFP,21.016650232121265,19.457534698000003,1.0801291406295948,0.03347568299612891,0.0947493239288794,0.019424172926481,4.877907764078208,base,base,0.003,0.03
mp-37207,bulk,SZ3,ZFP,0.0097186170942897,0.007861835644519,1.236176579329178,0.09208051116613314,0.0004167995733794,0.000148502025854,2.806692844642922,tight,base,3e-06,1e-05
mp-37207,bulk,SZ3,ZFP,0.0971861856232436,0.1141345949999994,0.8515050640276431,0.06981276487962818,0.0027045450231089,0.0011975733269231,2.2583544258267927,base,base,3e-05,0.0003
mp-37207,bulk,SZ3,ZFP,9.718391166204242,10.191913854999996,0.953539374887529,0.020661368749795406,0.0939817430706337,0.0263284107468102,3.5695942293827967,base,base,0.003,0.03
mp-37888,bulk,SZ3,ZFP,2.854143946023129,2.6401366799999977,1.0810591616882241,0.03384946166068625,0.0621483331458598,0.0214582165046088,2.896248769440441,base,base,0.001,0.01
mp-557569,bulk,SZ3,ZFP,0.0025320395243397,0.0020658692334052,1.225653339231983,0.08836765276996994,0.0002783982538083,0.0001461556125814,1.9048071359780914,tight,base,3e-06,1e-05
mp-557569,bulk,SZ3,ZFP,0.0844011968708002,0.0901226099999945,0.936515230426697,0.028485155356030578,0.0034558556033408,0.0016283166242585,2.1223486586428,base,base,0.0001,0.001
mp-557569,bulk,SZ3,ZFP,2.5315758180096424,2.331777939999995,1.0856847792331579,0.035703749275419916,0.0370144452848624,0.0125812989576576,2.9420209637680994,base,base,0.003,0.03
mp-557569,bulk,SZ3,ZFP,8.440115128995345,8.803796780000027,0.9586903627954164,0.018321638338330115,0.0493744735920582,0.0241908944490631,2.0410354687802976,base,base,0.01,0.1
mp-560030,bulk,SZ3,ZFP,0.0122667834179388,0.0148844857656236,0.8241321609020243,0.08400313763777723,0.0003022645495835,0.0002045701747643,1.4775592284249681,base,base,1e-05,0.0001
mp-560030,bulk,SZ3,ZFP,0.3679985670684118,0.3290556689999988,1.1183474461532925,0.048576750334820396,0.0074762050650747,0.0018844147582246,3.9673883005025927,base,base,0.0003,0.003
mp-560030,bulk,SZ3,ZFP,1.2266318091257062,1.178173072,1.0411304062852542,0.017505130262760446,0.0146807227528329,0.0017207914933674,8.531378037035932,base,base,0.001,0.01
mp-560030,bulk,SZ3,ZFP,3.679865133167141,4.101312170000028,0.8972409269609719,0.04709092462549069,0.0218146929067231,0.0047414867709907,4.600812774632097,base,base,0.003,0.03
mp-560341,bulk,SZ3,ZFP,0.3752756546145974,0.4664828925000392,0.8044789222673709,0.09448533013908422,0.0037980448053627,0.0016669270271165,2.278470948984894,base,base,0.0001,0.001
mp-560341,bulk,SZ3,ZFP,1.1258223496583284,1.3562526199999922,0.8300978247388269,0.08087072420125999,0.0067223473668445,0.0042299960334695,1.5892089055532137,base,base,0.0003,0.003
mp-560341,bulk,SZ3,ZFP,11.258186545624284,9.9211143,1.1347703700605771,0.05490798742766689,0.0406417854097771,0.0224562555865626,1.8098202192753978,base,base,0.003,0.03
mp-560341,bulk,SZ3,ZFP,37.52502093880764,35.88594940000007,1.0456744649706151,0.019396502818768813,0.1317735433775624,0.1632637979751088,0.8071204088836191,base,base,0.01,0.1
mp-623043,bulk,SZ3,ZFP,0.6638935196961029,0.7407089999999243,0.8962946578159179,0.04754919209418462,0.0324028265528646,0.0290025208187998,1.1172417306519327,base,base,0.0003,0.003
