caliper_dex,codec_a,codec_b,material_id,corpus,pair_index,tol_a,tol_b,realized_linf_a,realized_linf_b,rmse_a,rmse_b,resolved_bader_error_a,resolved_bader_error_b,compression_ratio_a,compression_ratio_b,distance,d_log10_linf,d_log10_rmse,error_ratio_a_over_b,compression_ratio_a_over_b,linf_ratio_a_over_b,rmse_ratio_a_over_b,jointly_eligible_tau_0.01,certification_difference_pp_a_minus_b
0.05,SZ3,SPERR,mp-1097014,dev_bulk,0,0.0003,0.0003,2.7840827310881195,2.784019600425551,0.9281239801039072,0.9018732365028852,0.0104551819121114,0.0138773515127876,212.2902731086036,16.882706481485222,0.2492099684125812,9.847986535138631e-06,0.012460494529016916,0.7533989394501707,12.574421840563078,1.0000226760840905,1.0291069105263753,True,0.0
0.05,SZ3,SPERR,mp-1097014,dev_bulk,1,0.001,0.001,9.280151667379386,9.280069452188634,2.7232759176969883,2.825626817708273,0.0319507944384938,0.0264535667781782,463.6621118012423,22.52176602106511,0.3204631733969679,3.847540763879387e-06,0.016023158207905452,1.2078066714561273,20.587289263531503,1.0000088593292513,0.9637776300218241,True,0.0
0.05,SZ3,SPERR,mp-1097014,dev_bulk,2,0.003,0.003,27.840316607021407,27.83999399319964,7.4255728147360545,7.974534370403965,0.10283899034882,0.1106948044265596,950.647564469914,30.81092937416715,0.6195074700136513,5.0326372489362114e-06,0.030975373091850722,0.9290317723723742,30.85423204620912,1.00001158814265,0.9311606759505255,True,0.0
0.05,SZ3,SPERR,mp-1100976,dev_bulk,0,0.001,0.001,3.696228145848579,3.696244981636795,1.2921013460691375,1.2357967231013631,0.0186982969589433,0.0270015360949891,148.31486413671004,16.591878174337317,0.3869907946747259,1.978144470560217e-06,0.019349539632621343,0.6924901195681715,8.939003925794783,0.9999954451644034,1.0455613952644833,True,0.0
0.05,SZ3,SPERR,mp-1104614,dev_bulk,0,0.0001,0.0001,0.6771092519318245,0.6771045723187186,0.2609199363184932,0.2559648105441976,0.0038466159725949,0.0116087392327433,74.59932005828072,11.445120300434407,0.1665400158024111,3.0014907734243756e-06,0.008327000249172656,0.3313551881452585,6.518002266472399,1.000006911211794,1.019358621068891,True,100.0
0.05,SZ3,SPERR,mp-1104614,dev_bulk,1,0.001,0.001,6.771103504667074,6.770995978757632,2.0935015234529457,2.13657170116794,0.0337363518695799,0.0442951947831238,285.29857907934246,20.5370015888544,0.17688386601796854,6.896701532865812e-06,0.008844190611874247,0.7616255450451985,13.891929542147786,1.0000158803682322,0.979841454564127,True,0.0
0.05,SZ3,SPERR,mp-1104614,dev_bulk,2,0.003,0.003,20.311343354050564,20.313093401010647,5.72885665316051,6.103173241212723,0.1252802587071535,0.1999069635262689,599.6876626756897,27.95387125931948,0.5497553544052733,3.741766281661896e-05,0.02748774225289663,0.6266928199861881,21.452758979698068,0.9999138463588221,0.9386685297535754,True,0.0
0.05,SZ3,SPERR,mp-1104614,dev_bulk,3,3e-05,3e-05,0.2031330288808419,0.2031309690398046,0.086348759578039,0.0802831411385743,0.0026183683009559,0.0077089447988818,41.65724978981531,8.84115280343976,0.6326349451222523,4.403922575835217e-06,0.03163174694954507,0.33965326893191666,4.711744126128896,1.000010140457888,1.0755528290677494,True,0.0
0.05,SZ3,SPERR,mp-1105871,dev_bulk,0,3e-05,3e-05,0.1090283369402698,0.1090274908373771,0.0484596426596757,0.0434256409187502,0.0122382873919653,0.0124490392118508,38.623365226963074,8.410541336965862,0.9526794107769561,3.3703095317916265e-06,0.04763397041961581,0.9830708365281012,4.592256750134067,1.0000077604545992,1.1159223360766088,True,0.0
0.05,SZ3,SPERR,mp-11306,dev_bulk,0,0.003,0.003,5.45263155948204,5.452541851972654,1.6298748125505602,1.6788874387605583,0.0924126193602044,0.1657796817591608,408.2454818118896,20.162625341841384,0.25734666753659224,7.145136504016492e-06,0.01286733139300833,0.557442373996461,20.24763516111667,1.0000164524201411,0.9708064846526091,True,0.0
