caliper_dex,codec_a,codec_b,material_id,corpus,n_pairs,n_jointly_eligible_cert_pairs,material_error_ratio_a_over_b,material_compression_ratio_a_over_b,material_linf_ratio_a_over_b,material_rmse_ratio_a_over_b,material_certification_difference_pp
0.3,SZ3,SPERR,mp-1187279,dev_bulk,2,2,2.304183246183209,0.5873486916205651,1.0005459404014585,1.9011588458617072,-50.0
0.3,SZ3,SPERR,mp-1187638,dev_bulk,1,1,0.42727628791326266,0.6271444042432747,1.0006381359038008,1.925118480310153,0.0
0.3,SZ3,SPERR,mp-1188002,dev_bulk,6,6,0.7074716858442067,0.6414073358607613,1.0000460867687626,1.5581446490104822,0.0
0.3,SZ3,SPERR,mp-1192831,dev_bulk,8,8,0.7632035134451753,3.1273547694887083,1.0000096243289465,1.3281417133129807,0.0
0.3,SZ3,SPERR,mp-1193567,dev_bulk,11,11,0.9225461109142987,3.922788991937928,1.0000038558732087,1.3076746010694054,0.0
0.3,SZ3,SPERR,mp-1194734,dev_bulk,5,5,3.3947878214228853,0.649902906490267,1.0000147974124294,1.7237453639127234,0.0
0.3,SZ3,SPERR,mp-1197354,dev_bulk,7,7,1.2623819845160966,6.272011384746159,1.0000081214474046,1.270571338225908,-14.285714285714286
0.3,SZ3,SPERR,mp-1199510,dev_bulk,4,4,0.8611135820383222,5.364326506266198,1.00000745565084,1.1786985572061524,0.0
0.3,SZ3,SPERR,mp-1200041,dev_bulk,7,7,0.9002647400575069,5.286488714928138,1.0000054204062006,1.2631384673822454,0.0
0.3,SZ3,SPERR,mp-1200429,dev_bulk,10,10,1.2385707543780546,3.163080165467692,1.0000091031932963,1.3457046404958484,0.0
0.3,SZ3,SPERR,mp-1205681,dev_bulk,6,6,1.3890507730108101,0.6583427773991893,1.000043542370862,1.612930158423342,0.0
0.3,SZ3,SPERR,mp-1206294,dev_bulk,2,2,0.9174240193137515,0.6787412082916263,1.000115938730395,1.7838839584604,0.0
0.3,SZ3,SPERR,mp-1206630,dev_bulk,9,9,1.5771869183003062,3.4105718441727846,1.0000084430754397,1.2620940639008182,-11.11111111111111
0.3,SZ3,SPERR,mp-1207275,dev_bulk,7,7,0.7963393226982336,2.555652480597021,1.0000109602738705,1.3556758607919734,0.0
0.3,SZ3,SPERR,mp-1209117,dev_bulk,6,0,0.8442947751749249,8.481998954185437,1.000019209138292,1.201462560053513,
0.3,SZ3,SPERR,mp-1209933,dev_bulk,8,8,0.8654529367291831,4.616701667835341,1.0000098357358436,1.2689446408503677,12.5
0.3,SZ3,SPERR,mp-1211145,dev_bulk,11,11,0.8329891500103973,3.4298622870598026,1.000011566820627,1.2898360563134041,9.090909090909092
