material_id,domain,case_role,stability_floor_A_archived_e,codec,relative_tolerance,compression_ratio,linf,atom_index,element,q_original_e,q_recon_old_basins_e,q_recon_new_basins_e,dq_integrand_e,dq_domain_e,dq_total_e,basin_voxels_original,basin_voxels_recon,frac_voxels_reassigned_material
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.001,18.22629912719418,6.574873122030908,15,N,6.441640107241677,6.440974127946035,6.444419449805457,-0.0006659792956424937,0.0034453218594219237,0.00277934256377943,46256,46427,0.18683675130208333
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.001,18.22629912719418,6.574873122030908,16,N,6.466413513105485,6.46576129841103,6.4607315078955345,-0.000652214694455644,-0.005029790515495236,-0.00568200520995088,46805,46489,0.18683675130208333
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.001,18.22629912719418,6.574873122030908,17,N,6.434733190031286,6.434538816590179,6.449804781446355,-0.0001943734411069542,0.015265964856175707,0.015071591415068752,45957,46001,0.18683675130208333
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.001,18.22629912719418,6.574873122030908,18,N,6.478920023791491,6.479127339757358,6.457607370995096,0.00020731596586731627,-0.02151996876226203,-0.021312652796394715,46911,46142,0.18683675130208333
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.001,18.22629912719418,6.574873122030908,19,N,6.4456299967366375,6.445472575368971,6.459035832731494,-0.00015742136766672132,0.01356325736252284,0.013405835994856119,46051,46335,0.18683675130208333
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.001,18.22629912719418,6.574873122030908,20,N,6.474643629459975,6.4740458268573615,6.461023243917518,-0.0005978026026136618,-0.013022582939843375,-0.013620385542457036,47086,46965,0.18683675130208333
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.001,18.22629912719418,6.574873122030908,21,N,6.461503713316075,6.461450836098071,6.439799995674969,-5.2877218004176996e-05,-0.021650840423101947,-0.021703717641106124,57736,52371,0.18683675130208333
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.01,36.16000980903044,65.74646662862102,0,Ga,11.555230710471019,11.539131710837037,11.638897195352314,-0.016098999633982203,0.09976548451527734,0.08366648488129513,45686,46128,0.268023681640625
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.01,36.16000980903044,65.74646662862102,1,Ga,11.537151719553634,11.510865621702632,11.53535935174544,-0.026286097851002665,0.024493730042808082,-0.0017923678081945837,34734,35835,0.268023681640625
nomad-9xtsrVZD5SSK,slab,median_stability,2.291e-05,SPERR,0.01,36.16000980903044,65.74646662862102,2,Ga,11.53662900785626,11.528365815338972,11.576248530469055,-0.00826319251728691,0.04788271513008269,0.03961952261279578,35244,36022,0.268023681640625
