material_id,domain,case_role,stability_floor_e,codec,relative_tolerance,compression_ratio,dq_total_max_e,dq_integrand_max_e,dq_domain_max_e,domain_share_of_total,atom_of_max_total,dq_total_at_that_atom,dq_integrand_at_that_atom,dq_domain_at_that_atom,frac_voxels_reassigned,linf,mean_signed_error
mp-567278,bulk,least_stable,7.577e-03,sz3,0.001,206.03928816287598,0.9777552720504759,0.0023035486397358085,0.97775262901449,0.999997296832795,6,-0.9777552720504759,-2.6430359858498065e-06,-0.97775262901449,0.03834027777777778,0.732848827343787,-0.00806885586702746
mp-567278,bulk,least_stable,7.577e-03,sz3,0.01,877.9372539057539,0.1577741097035663,0.022402526289853952,0.1588535663029894,1.0068417853946459,5,-0.1577741097035663,0.001079456599423101,-0.1588535663029894,0.06042824074074074,7.328379589305612,-0.06789527840290459
mp-567278,bulk,least_stable,7.577e-03,sperr,0.0001,71.16602316602317,0.0018119996053451715,1.3444996344702531e-05,0.001800668063379085,0.9937463882813993,11,-0.0018119996053451715,-1.1331541966086434e-05,-0.001800668063379085,0.0022528935185185187,0.07328373768080354,4.608911131240552e-06
mp-567278,bulk,least_stable,7.577e-03,sperr,0.001,196.27442071785552,0.018365049935770594,0.00017562537282422852,0.018425258728850258,1.0032784442890292,6,-0.018365049935770594,6.0208793079663536e-05,-0.018425258728850258,0.007325810185185185,0.7307541502181039,-0.00031360361073568357
mp-567278,bulk,least_stable,7.577e-03,sperr,0.01,659.6993557623479,0.06942257110500005,0.002117748104832451,0.0691532014804831,0.9961198552541429,6,0.06942257110500005,0.00026936962451695745,0.0691532014804831,0.02626388888888889,7.318180293653199,0.002176341914711523
mp-567699,bulk,least_stable,2.137e-02,zfp,0.0001,15.654478127441765,0.016300398730516807,3.2318199023606553e-06,0.01629945048579451,0.9999418269001896,4,0.016300398730516807,9.482447222985968e-07,0.01629945048579451,0.0030635127314814813,0.03206806250000227,3.3727448618735916e-06
mp-567699,bulk,least_stable,2.137e-02,zfp,0.001,25.439355183010985,0.018072126323259496,1.534539824543657e-05,0.018082128454137703,1.0005534562286305,9,0.018072126323259496,-1.0002130878206117e-05,0.018082128454137703,0.008196614583333333,0.2501191999999719,1.3500059676688407e-05
mp-567699,bulk,least_stable,2.137e-02,zfp,0.01,54.92252681764005,0.04751770783527798,0.0002813005396022916,0.04749674479166677,0.9995588372300306,8,0.04751770783527798,2.0963043611210708e-05,0.04749674479166677,0.03796947337962963,2.7342854600000237,1.1329920787799448e-05
mp-567699,bulk,least_stable,2.137e-02,sz3,0.0001,61.051643710839386,0.019118283297825833,0.0006260856156590222,0.01906493987711766,0.9972098216206348,9,0.019118283297825833,5.3343420708173994e-05,0.01906493987711766,0.015405092592592592,0.1970420371966881,-0.004894835006415772
mp-567699,bulk,least_stable,2.137e-02,sz3,0.001,230.11714767265235,0.04529646572648538,0.0057788536421021774,0.042314603923200966,0.897785582842761,17,-0.04529646572648538,-0.004629951843515556,-0.040666513882969824,0.048641493055555554,1.9704015224155285,-0.03636145112183865
mp-567699,bulk,least_stable,2.137e-02,sz3,0.01,1008.5909712722298,0.1318023255303391,0.04590611341222406,0.11854416913136312,0.8994087824654949,0,0.1318023255303391,0.013258156398975984,0.11854416913136312,0.20348162615740742,19.704063894547915,-0.07019198673947427
mp-567699,bulk,least_stable,2.137e-02,sperr,0.0001,9.77807642658839,0.019890595557209956,2.1718192658504165e-05,0.019876425646376372,0.9992876075131674,9,0.019890595557209956,1.4169910833583543e-05,0.019876425646376372,0.018507667824074075,0.19704112207665503,6.361474986234666e-06
mp-567699,bulk,least_stable,2.137e-02,sperr,0.001,16.118698167932255,0.02915892677483445,0.0003870844463076395,0.02920395996532843,1.001544404937868,9,0.02915892677483445,-4.503319049398158e-05,0.02920395996532843,0.05892722800925926,1.9703613084537959,-0.000908832190504637
mp-567699,bulk,least_stable,2.137e-02,sperr,0.01,29.13866105280908,0.13847291100913983,0.0040213137823101874,0.13578150349371354,0.9805636532386566,9,0.13847291100913983,0.0026914075154262918,0.13578150349371354,0.21978515625,19.70248453020059,-0.005859695591988497
nomad-4TmN2lwz6DHx,slab,most_stable,2.366e-09,zfp,0.0001,29.295938385526412,0.007023744307314672,1.7237823852767065e-05,0.007006841588903967,0.9975934889325196,13,-0.007023744307314672,-1.690271841070512e-05,-0.007006841588903967,0.0017532655423280422,0.1264387206250035,-0.00019411435557731413
nomad-4TmN2lwz6DHx,slab,most_stable,2.366e-09,zfp,0.001,48.4634801073761,0.02731108264488391,0.0001440199250275498,0.02743830443690065,1.0046582478501844,13,-0.02731108264488391,0.00012722179201674066,-0.02743830443690065,0.009918981481481482,0.8554375800000003,0.00104834182828512
nomad-4TmN2lwz6DHx,slab,most_stable,2.366e-09,sz3,0.0001,125.74498981557583,0.04068443578828074,0.0018993670547757802,0.039805680864075654,0.9784007100706013,1,-0.04068443578828074,-0.0008787549242050829,-0.039805680864075654,0.022628554894179895,0.6661282750328041,-0.011542299597367574
nomad-4TmN2lwz6DHx,slab,most_stable,2.366e-09,sz3,0.001,186.84327392790254,0.3076142917382896,0.07807435411927166,0.33082461286691967,1.0754526748333815,12,-0.3076142917382896,0.023210321128630085,-0.33082461286691967,0.09312437996031746,6.6612821425333095,0.828573460346261
nomad-4TmN2lwz6DHx,slab,most_stable,2.366e-09,sz3,0.01,1513.6555607695918,0.5542144659988519,0.16903495864356444,0.4971206026891455,0.7940539269377405,19,0.5542144659988519,0.1141382929067607,0.44007617309209124,0.16701946924603175,66.61278685573296,0.029158553339109175
nomad-4TmN2lwz6DHx,slab,most_stable,2.366e-09,sperr,0.0001,11.347135176113182,0.05981883363693541,5.10030032874198e-05,0.059793266569171166,0.9995725916703856,2,0.05981883363693541,2.556706776424278e-05,0.059793266569171166,0.04019903273809524,0.666123854883799,0.00011652090051977129
nomad-4TmN2lwz6DHx,slab,most_stable,2.366e-09,sperr,0.001,18.444964174820015,0.20105745992349888,0.0004205506744003884,0.20142920279433518,1.0018489384625557,13,-0.20105745992349888,0.0003717428708363002,-0.20142920279433518,0.21682539682539684,6.661254640804328,0.0009745970573173961
