material_id,tau_e,original_qsq_floor_e,original_qsq_eligible,n_planned,n_valid,n_fail,n_exceed,valid_exceedance_fraction,valid_exact_one_sided_95_upper,conservative_exceedance_fraction,conservative_exact_one_sided_95_upper,any_fresh_exceedance,any_unresolved,fresh_max_response_e,fresh_max_over_original_floor
nomad-1CIlfNcWTE4X,0.01,0.0001667485730898,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.00016680050000061897,1.0003114084268117
nomad-1DBJPWgjPfWO,0.0001,0.0015101169328737,False,59,59,0,59,1.0,1.0,1.0,1.0,True,False,0.003777631300000195,2.5015488653660043
nomad-1DBJPWgjPfWO,0.001,0.0015101169328737,False,59,59,0,23,0.3898305084745763,0.5051636361942882,0.3898305084745763,0.5051636361942882,True,False,0.003777631300000195,2.5015488653660043
nomad-1DBJPWgjPfWO,0.01,0.0015101169328737,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.003777631300000195,2.5015488653660043
nomad-1Few3hG0Dkat,0.0001,0.0006662639960026,False,59,59,0,55,0.9322033898305084,0.976512448112573,0.9322033898305084,0.976512448112573,True,False,0.0006842278000007695,1.0269619912016068
nomad-1Few3hG0Dkat,0.001,0.0006662639960026,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.0006842278000007695,1.0269619912016068
nomad-1Few3hG0Dkat,0.01,0.0006662639960026,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.0006842278000007695,1.0269619912016068
nomad-1iTKfRU16qFo,0.0001,0.0010369235096838,False,59,59,0,59,1.0,1.0,1.0,1.0,True,False,0.001992292600000667,1.921349628390813
nomad-1iTKfRU16qFo,0.001,0.0010369235096838,False,59,59,0,26,0.4406779661016949,0.5558350443660693,0.4406779661016949,0.5558350443660693,True,False,0.001992292600000667,1.921349628390813
nomad-1iTKfRU16qFo,0.01,0.0010369235096838,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.001992292600000667,1.921349628390813
