material_id,system_type,corpus,stability_floor_A1_e,codec,valid_rows,numerical_pass,available,eligible,no_pass_observed,qualified_pass,eligible_no_pass,non_evaluable,non_evaluable_no_pass,non_evaluable_pass,design,tau_e
mp-1213918,bulk,dev_bulk,1.069548698495737e-07,SZ3,9,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1213918,bulk,dev_bulk,1.069548698495737e-07,SPERR,8,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1215324,bulk,dev_bulk,0.0130742704163857,ZFP,7,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1215324,bulk,dev_bulk,0.0130742704163857,SZ3,5,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1215324,bulk,dev_bulk,0.0130742704163857,SPERR,4,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1218887,bulk,dev_bulk,0.0002032166029408,ZFP,13,True,True,False,False,False,False,True,False,True,full_record,0.0001
mp-1218887,bulk,dev_bulk,0.0002032166029408,SZ3,9,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1218887,bulk,dev_bulk,0.0002032166029408,SPERR,11,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1219705,bulk,dev_bulk,3.822001167108624e-05,ZFP,12,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1219705,bulk,dev_bulk,3.822001167108624e-05,SZ3,11,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1219705,bulk,dev_bulk,3.822001167108624e-05,SPERR,10,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1222924,bulk,dev_bulk,0.002732483730746,ZFP,7,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1222924,bulk,dev_bulk,0.002732483730746,SZ3,3,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1222924,bulk,dev_bulk,0.002732483730746,SPERR,7,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1223327,bulk,dev_bulk,0.0162104879217395,ZFP,9,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1223327,bulk,dev_bulk,0.0162104879217395,SZ3,7,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1223327,bulk,dev_bulk,0.0162104879217395,SPERR,7,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1223939,bulk,dev_bulk,3.52542162058711e-05,ZFP,13,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1223939,bulk,dev_bulk,3.52542162058711e-05,SZ3,10,False,True,True,True,False,True,False,False,False,full_record,0.0001
mp-1223939,bulk,dev_bulk,3.52542162058711e-05,SPERR,11,False,True,True,True,False,True,False,False,False,full_record,0.0001
mp-1224859,bulk,dev_bulk,0.000177357784409,ZFP,12,True,True,False,False,False,False,True,False,True,full_record,0.0001
mp-1224859,bulk,dev_bulk,0.000177357784409,SZ3,9,False,True,False,True,False,False,True,True,False,full_record,0.0001
