material_id,system_type,corpus,stability_floor_A1_e,codec,base,tight,tight_access
mp-1245841,bulk,dev_bulk,0.0037436215130863,SPERR,4,0,False
mp-1246480,bulk,dev_bulk,0.0001625568721106,ZFP,9,4,True
mp-1246480,bulk,dev_bulk,0.0001625568721106,SZ3,6,4,True
mp-1246480,bulk,dev_bulk,0.0001625568721106,SPERR,6,4,True
mp-1246536,bulk,dev_bulk,0.0009241491524383,ZFP,9,4,True
mp-1246536,bulk,dev_bulk,0.0009241491524383,SZ3,6,4,True
mp-1246536,bulk,dev_bulk,0.0009241491524383,SPERR,6,4,True
mp-1246548,bulk,dev_bulk,0.0001451752940315,ZFP,9,4,True
mp-1246548,bulk,dev_bulk,0.0001451752940315,SZ3,6,4,True
mp-1246548,bulk,dev_bulk,0.0001451752940315,SPERR,7,4,True
mp-1247173,bulk,dev_bulk,0.0011592776795188,ZFP,8,0,False
mp-1247173,bulk,dev_bulk,0.0011592776795188,SZ3,5,0,False
mp-1247173,bulk,dev_bulk,0.0011592776795188,SPERR,5,0,False
mp-1261118,bulk,dev_bulk,0.0006804672343356,ZFP,5,4,True
mp-1261118,bulk,dev_bulk,0.0006804672343356,SZ3,3,4,True
mp-1261118,bulk,dev_bulk,0.0006804672343356,SPERR,5,4,True
mp-1296,bulk,dev_bulk,0.1809297569732129,ZFP,1,0,False
mp-1296,bulk,dev_bulk,0.1809297569732129,SZ3,1,0,False
mp-1296,bulk,dev_bulk,0.1809297569732129,SPERR,1,0,False
mp-1300873,bulk,dev_bulk,4.820518049619693e-05,ZFP,8,4,True
mp-1300873,bulk,dev_bulk,4.820518049619693e-05,SZ3,6,4,True
mp-1300873,bulk,dev_bulk,4.820518049619693e-05,SPERR,7,4,True
mp-1303576,bulk,dev_bulk,6.015829531325068e-05,ZFP,8,4,True
mp-1303576,bulk,dev_bulk,6.015829531325068e-05,SZ3,7,4,True
mp-1303576,bulk,dev_bulk,6.015829531325068e-05,SPERR,7,4,True
mp-1369222,bulk,dev_bulk,0.0025002482946323,ZFP,8,0,False
mp-1369222,bulk,dev_bulk,0.0025002482946323,SZ3,6,0,False
mp-1369222,bulk,dev_bulk,0.0025002482946323,SPERR,6,0,False
mp-1388393,bulk,dev_bulk,0.0019966841144842,ZFP,9,0,False
mp-1388393,bulk,dev_bulk,0.0019966841144842,SZ3,6,0,False
mp-1388393,bulk,dev_bulk,0.0019966841144842,SPERR,6,0,False
mp-1399089,bulk,dev_bulk,0.0002221887182347,ZFP,8,4,True
mp-1399089,bulk,dev_bulk,0.0002221887182347,SZ3,6,4,True
mp-1399089,bulk,dev_bulk,0.0002221887182347,SPERR,5,4,True
mp-1666665,bulk,dev_bulk,0.0002487673408735,ZFP,9,4,True
mp-1666665,bulk,dev_bulk,0.0002487673408735,SZ3,6,4,True
mp-1666665,bulk,dev_bulk,0.0002487673408735,SPERR,7,4,True
mp-17103,bulk,dev_bulk,0.0022314285178062,ZFP,8,0,False
mp-17103,bulk,dev_bulk,0.0022314285178062,SZ3,7,0,False
mp-17103,bulk,dev_bulk,0.0022314285178062,SPERR,8,0,False
mp-1778,bulk,dev_bulk,0.0008690062420009,ZFP,9,4,True
mp-1778,bulk,dev_bulk,0.0008690062420009,SZ3,7,4,True
mp-1778,bulk,dev_bulk,0.0008690062420009,SPERR,7,4,True
mp-1841520,bulk,dev_bulk,0.0004543457353074,ZFP,9,4,True
mp-1841520,bulk,dev_bulk,0.0004543457353074,SZ3,6,4,True
mp-1841520,bulk,dev_bulk,0.0004543457353074,SPERR,6,4,True
mp-19133,bulk,dev_bulk,0.0012493818795942,ZFP,9,0,False
mp-19133,bulk,dev_bulk,0.0012493818795942,SZ3,6,0,False
mp-19133,bulk,dev_bulk,0.0012493818795942,SPERR,8,0,False
mp-20888,bulk,dev_bulk,0.0003284703347112,ZFP,7,4,True
