caliper_dex,codec_a,codec_b,material_id,corpus,pair_index,tol_a,tol_b,d_log10_linf,linf_a,linf_b,rmse_a,rmse_b,error_a,error_b,error_ratio_a_over_b,rmse_ratio_a_over_b,linf_ratio_a_over_b,compression_ratio_a_over_b,shape_factor_ratio_a_over_b
0.2,ZFP,SPERR,mp-1046632,dev_bulk,0,0.003,0.0003,0.03642954407544574,0.7313426850000013,0.6724985895157101,0.1110948900799502,0.239297547948864,0.0051625486633772,0.021033879702613,0.24543967809875158,0.4642541932928218,1.0875006972530112,2.361852157130795,0.42690013391762566
0.2,ZFP,SPERR,mp-1046632,dev_bulk,1,0.01,0.001,0.052905147125059004,2.5320606600000133,2.241655954682585,0.3755411902073137,0.721559861858903,0.0180107193723726,0.0239240780433416,0.7528281482673574,0.5204574284936441,1.1295491864890341,2.6305603914035296,0.4607656175747215
0.2,ZFP,SPERR,mp-1046632,dev_bulk,2,0.0001,1e-05,0.1405543325280154,0.0309829733750035,0.0224165493600665,0.0045310620173604,0.0091074793273741,0.0003122729856492,0.0006208790610999,0.5029529987627575,0.4975099974963997,1.3821473089965168,1.998823703034933,0.3599543943384789
0.2,ZFP,SPERR,mp-1046632,dev_bulk,3,1e-06,3e-07,0.14416631506899868,0.000482524235835,0.0006724894053444,8.13792917839773e-05,0.0002743242182005,0.0002323160317398,0.0003191476058583,0.7279266003422479,0.2966536907233551,0.7175194612737226,1.518888234130227,0.4134434070913462
0.2,ZFP,SPERR,mp-1065204,dev_bulk,0,0.1,0.01,0.03722683289067574,10.139563199999998,9.306629259643202,1.0630296558118304,0.7928520890848504,0.4277259085909417,0.0599327387128241,7.136765610536318,1.340766670664679,1.0894989922902256,0.1496501272264631,1.2306268111788392
0.2,ZFP,SPERR,mp-1065204,dev_bulk,1,0.03,0.003,0.08432950725011767,3.394198179,2.7951665399795047,0.330845854885024,0.3104696531710947,0.0432168855818044,0.0298556811873549,1.4475263622559218,1.0656302524443517,1.2143098203461207,0.18576372142374845,0.8775604335807892
0.2,ZFP,SPERR,mp-1065204,dev_bulk,2,1e-05,3e-06,0.12379855879631263,0.0021106024658195,0.0028067581991422,0.0003214794365883,0.0009196015235719,8.962059749073603e-05,0.0011942307515813,0.07504462380663701,0.34958558500383435,0.7519716042744763,0.4540793594632491,0.46489200259247093
0.2,ZFP,SPERR,mp-1065204,dev_bulk,3,0.0003,0.0001,0.1270102228039507,0.0698263205625,0.0935468957891743,0.0084885274588178,0.0195383354351565,0.0036771585327173,0.0046236721594485,0.7952896325495323,0.4344549967928119,0.7464311880521068,0.28917793594306046,0.5820429314141727
0.2,ZFP,SPERR,mp-1065204,dev_bulk,4,3e-07,1e-07,0.13086511517848098,6.92174165166648e-05,9.35579076859483e-05,1.064062852211063e-05,3.660071374334618e-05,1.741080911887849e-05,7.415220894735342e-05,0.23479825302628296,0.2907218858278424,0.7398350201354572,0.5982396171429893,0.3929550209377948
0.2,ZFP,SPERR,mp-1069461,dev_bulk,0,0.003,0.0003,0.08552878361876037,0.0957882550000004,0.0786653497784968,0.0145227048815891,0.015081132302674,0.0139728422065497,0.0023895232212947,5.847544012976314,0.9629717842216737,1.2176676932056831,0.26871454619124796,0.7908329912954443
0.2,ZFP,SPERR,mp-1069461,dev_bulk,1,0.03,0.003,0.09257311481130995,0.6321926990000009,0.782388738692859,0.0898865321029596,0.0882303323167077,0.073733253435964,0.0901229040468365,0.8181411175747858,1.0187713198257815,0.8080288835141065,0.16163339546629787,1.2608105237465759
0.2,ZFP,SPERR,mp-1069461,dev_bulk,2,0.01,0.001,0.0971213155213978,0.3273000899999942,0.2617127067899218,0.0483811474432112,0.0364532691511854,0.048570075345268,0.0136014849976766,3.5709391550676064,1.3272101122825612,1.250608325497622,0.22361544558379157,1.0612516206898426
0.2,ZFP,SPERR,mp-1069461,dev_bulk,3,3e-05,1e-05,0.12336007107410074,0.0019745900605467,0.0026232339095546,0.000308946459222,0.0008121386818829,0.0014564594690931,0.0013263778361964,1.0980728336578134,0.3804109644250957,0.7527312197950226,0.4030072672236954,0.5053742350804661
0.2,ZFP,SPERR,mp-1069461,dev_bulk,4,0.0003,0.0001,0.19646232045579204,0.0166819720624999,0.0262246505605734,0.0021704540201622,0.0060261197947515,0.000811057196731,0.0012006884276374,0.6754934736290586,0.36017438983748307,0.6361179922671637,0.2644117413960492,0.566206889627189
0.2,ZFP,SPERR,mp-10761,dev_bulk,0,0.03,0.003,0.060219607158217725,4.118184350000007,4.730699816125611,0.5490437887752319,1.4028632728841754,0.0140157521292874,0.0696142400581489,0.20133455622843857,0.39137369933881117,0.8705232862085831,2.9273081924577373,0.4495844115134163
