material_id,corpus,system_type,source,formula,ngrid,sha256,url,source_bytes,npoints,natoms,crystal_system,symmetry_number,spacegroup_relax,upload_id,upload_description,cell_c_angstrom,vacuum_fraction,license
mp-1192831,dev_bulk,bulk,Materials Project,Ti2FeSe4,108x108x180,97b5e3d6bdb5d966555bd758994169f4a64be2f66af36d2483632125a69a1bc5,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-2304605.json.gz,30627368,2099520,28,trigonal,164.0,,,,,,
mp-1193567,dev_bulk,bulk,Materials Project,TbMoBrO4,108x108x168,03f4197bb0e252e95422a297ca67588632a57e0d10757dd2c7fdd3f93a7c0faa,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-2308636.json.gz,28558924,1959552,28,triclinic,2.0,,,,,,
mp-1194734,dev_bulk,bulk,Materials Project,ScH12N3(OF2)3,120x120x120,d47a7376e5a6eb786e4bcec0d0794381ec373549d149c0a5ae0681656354e1f0,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1817585.json.gz,25126050,1728000,50,trigonal,161.0,,,,,,
mp-1197354,dev_bulk,bulk,Materials Project,ZrU2S5,108x120x180,9009fba61987dac14629204946429a3456b2b5e8004d7f2f26fcafafe6c32156,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1871237.json.gz,32908379,2332800,32,orthorhombic,62.0,,,,,,
mp-1199510,dev_bulk,bulk,Materials Project,Pr5Ni19,80x80x500,32d93b93088bc62f82cfdbe977568e952873541bd1e2f126c5c703ae7ed9c14f,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1891976.json.gz,31669550,3200000,48,hexagonal,194.0,,,,,,
mp-1200041,dev_bulk,bulk,Materials Project,SrV6O11,96x96x196,8734f0467eaf0f23264f9ff02e6954f5f939ae30f06fd4ea67d1603538d01c05,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1821760.json.gz,26531519,1806336,36,orthorhombic,36.0,,,,,,
mp-1200429,dev_bulk,bulk,Materials Project,Mg2CO5,140x48x192,4b581065b78e8b7734d97b938b5b768741c73c7eef50da9a957414a6b303339e,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1843497.json.gz,18925548,1290240,32,monoclinic,14.0,,,,,,
mp-1205681,dev_bulk,bulk,Materials Project,K2NaPdF6,96x96x96,311a0465654499a3757e7e29b9c80007ff26bb2cbd27c5ce8bcd6e23b31accf1,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-2307142.json.gz,12848388,884736,10,tetragonal,139.0,,,,,,
mp-1206294,dev_bulk,bulk,Materials Project,CeB2Pd2C,96x96x96,791b6634aa18a337165aa29ce5e1b59ba53bfaf3c7cd15e24c1234b10eb17875,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1801489.json.gz,12564173,884736,6,tetragonal,139.0,,,,,,
mp-1206630,dev_bulk,bulk,Materials Project,Ho2Ge6Pt,60x60x168,ad875d1aa4e9731fc7d7b3fc0636140d320adacbc62be73d72708cb709244fee,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1834640.json.gz,8676927,604800,9,orthorhombic,38.0,,,,,,
mp-1207275,dev_bulk,bulk,Materials Project,Dy3(In2Co)2,120x120x56,335cfe503699a0d96b45891b63d7736e371dfcca0f18d583177f3f65a1c7b21b,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1851656.json.gz,11483428,806400,9,hexagonal,174.0,,,,,,
mp-1209117,dev_bulk,bulk,Materials Project,SNF3,108x120x120,ebb22b32f51fbcde23f5a5430cdb8e702de51933c7326f9ae596a914ed96acbf,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1820782.json.gz,21776798,1555200,20,orthorhombic,62.0,,,,,,
mp-1209933,dev_bulk,bulk,Materials Project,Nd9Ga4,96x160x160,6cb1278e0b7b729187b43f4eee3a0dc7309a8c8207626b270f51def9a1850745,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-2024340.json.gz,35888272,2457600,13,tetragonal,87.0,,,,,,
mp-1211145,dev_bulk,bulk,Materials Project,LiSm(MoO4)2,96x80x168,17d71c61406e76c2afb59eef7381dfdcc53bdcfac4c0832164f7a60a375ca0a6,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1813816.json.gz,18327345,1290240,24,monoclinic,13.0,,,,,,
mp-1211797,dev_bulk,bulk,Materials Project,La5CoGe3,140x140x108,9a1d965ae7dfcd25e6bd19980b939f2ffcd2a0920aaffbd34ddeae543eda81b1,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1932510.json.gz,30133065,2116800,18,hexagonal,193.0,,,,,,
mp-1213918,dev_bulk,bulk,Materials Project,Ce2FeP2O,48x48x216,21455a258526381d365aceb5d5bf42a6b9574186a69c9eb34278c00461d27fe4,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1926181.json.gz,4928719,497664,6,tetragonal,123.0,,,,,,
mp-1215324,dev_bulk,bulk,Materials Project,ZrVCo,80x80x128,d0353db99617d7628fafa197804dc79411d64681f4e2ef5107fa0bbcf13f2a9c,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1830844.json.gz,8267161,819200,12,orthorhombic,38.0,,,,,,
mp-1218887,dev_bulk,bulk,Materials Project,SnTePbSe,72x72x96,f56034a57d3a26f658b73da28e67040b9f1391a10276cb1d63d3df4cb0469f98,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-2689842.json.gz,4819526,497664,4,tetragonal,123.0,,,,,,
mp-1219705,dev_bulk,bulk,Materials Project,PrY,56x56x96,0b4695151cdbf7660177512b65a2865a35d3c0868efecc32b38d93e75dc3c5cf,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1921321.json.gz,2955084,301056,2,hexagonal,187.0,,,,,,
mp-1222924,dev_bulk,bulk,Materials Project,LaCeOs4,80x80x80,4ab808b785f4d5d4bd4eb18b58f139dcaf3a9c6e86a8aeb1792e82c767be99ba,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1933115.json.gz,7252292,512000,6,cubic,216.0,,,,,,
mp-1223327,dev_bulk,bulk,Materials Project,La2CO5,60x60x240,7f8ceb74d4a10f50068d6dc801329e10c902cb95058856b1721917fcfd8ee502,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1776517.json.gz,11930684,864000,16,orthorhombic,40.0,,,,,,
mp-1223939,dev_bulk,bulk,Materials Project,InMo6(SeS)4,100x100x108,af186ef257f1c4032f9b118cca91f419f112885000ff0511555061d3c99d7c7f,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1810270.json.gz,15681395,1080000,15,triclinic,1.0,,,,,,
mp-1224859,dev_bulk,bulk,Materials Project,GaNi4Ge3,72x72x72,ad6e8e37f11e400b0fe077ef15542b18764c5b9b47e5c6a95949d7e22949ead7,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-2304222.json.gz,5391509,373248,8,trigonal,146.0,,,,,,
mp-1225264,dev_bulk,bulk,Materials Project,Fe3Cu(SnS4)2,108x108x108,58a7699d464d66d35d95678f058b95250e374b0be566a1b6ef916134bb28de53,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1774458.json.gz,18426863,1259712,14,orthorhombic,44.0,,,,,,
mp-1226636,dev_bulk,bulk,Materials Project,CeB2Ir2Rh,84x84x48,b245423fe239bbb7d1ae5f271e7432fa403f1d238036f15be0b019470aadc4e2,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1800409.json.gz,4538255,338688,6,orthorhombic,65.0,,,,,,
mp-1228245,dev_bulk,bulk,Materials Project,BaLa4Ti4O15,84x84x360,0aae4f9cc341c1e5008ba645acea7cc3c4f5d0a41734903caf425ba835cdf76b,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1873662.json.gz,37412521,2540160,48,trigonal,158.0,,,,,,
mp-1232323,dev_bulk,bulk,Materials Project,Cu(BiO2)2,108x108x108,3172d97aa9f5a32e71c0556c9cdbe49daaf0ebd1b3fccce88b685810b72465e1,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-2309470.json.gz,17877233,1259712,7,tetragonal,139.0,,,,,,
mp-12406,dev_bulk,bulk,Materials Project,US3,72x96x160,7bea561f081682ac733ebc68f6bfc3096551f4765c3bd88632347a8b412b6e31,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-2028257.json.gz,16261997,1105920,8,monoclinic,11.0,,,,,,
mp-1245841,dev_bulk,bulk,Materials Project,K6MoN4,128x128x100,f7343837b4ba6e6c817b8567a78409703a354e31ac41114a1bf34aca60b4b492,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1817147.json.gz,22679240,1638400,22,tetragonal,137.0,,,,,,
mp-1246480,dev_bulk,bulk,Materials Project,CoGeN2,48x48x160,fa85a4272fb42b4ad72882e4e10323016eba3009001a5b0ca04ed949ac859568,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1800837.json.gz,5260142,368640,8,hexagonal,194.0,,,,,,
mp-1246536,dev_bulk,bulk,Materials Project,Co11(CN5)2,192x192x48,2849a22a647ed87f59ea0afceb23f839a59cf4303af3720c41567ec498b8d46e,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1821731.json.gz,18250625,1769472,46,tetragonal,136.0,,,,,,
mp-1246548,dev_bulk,bulk,Materials Project,In(FeN)2,48x48x140,d42d3a3bd0707e5f77ff1b8b763cfe0f913be6d72c10af90a3869fc5faa8e8a0,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1781457.json.gz,4680329,322560,5,trigonal,166.0,,,,,,
mp-1247173,dev_bulk,bulk,Materials Project,Mg2Mn3AlS8,108x108x108,3d9be4f37fd46bb4aaa34821d91362a14ad71d617d4bcdabd16b63580dc96f28,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1864386.json.gz,18335865,1259712,14,trigonal,166.0,,,,,,
mp-1261118,dev_bulk,bulk,Materials Project,Zr4AlNi2,140x140x140,fc2f578a7486fbba0472f3b54455e4270648013ecfe0fdf863811fdd7578f97a,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1879093.json.gz,39611449,2744000,28,monoclinic,15.0,,,,,,
mp-1296,dev_bulk,bulk,Materials Project,ErB6,60x60x60,cd0ff2edc30a2f04d275d6e14c477b8405994c2da824d94702b06fc23a566a8d,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1784282.json.gz,1700269,216000,7,cubic,221.0,,,,,,
mp-1300873,dev_bulk,bulk,Materials Project,MoO4,56x100x120,7e271452ad9056859d9800550343c1971f56a92cd8eed86c67dff9d41d658b2c,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-2440354.json.gz,9792628,672000,10,triclinic,2.0,,,,,,
mp-1303576,dev_bulk,bulk,Materials Project,LiCo(CO3)2,80x160x160,c444bd258e072c3792e17f9b0fb893be510c75c57a19fcf5067e293db899150b,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1821766.json.gz,30290546,2048000,40,triclinic,1.0,,,,,,
mp-1369222,dev_bulk,bulk,Materials Project,Mn2Nb2O9,80x80x216,281d5ff10b811c74c26569020538710d02b5f77eff233d7930957c9d66fa673c,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1810214.json.gz,19327611,1382400,26,hexagonal,193.0,,,,,,
mp-1388393,dev_bulk,bulk,Materials Project,YCr2O4,96x96x96,d32d1ff6ec2b830815261ec856c74ad9e2c1132ae6de1f8b771c90d534836bd5,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1827838.json.gz,12498089,884736,14,trigonal,166.0,,,,,,
mp-1399089,dev_bulk,bulk,Materials Project,Zn2MoWO6,80x80x84,cba1bd5f13608748c451fed670e3ef19743c1a423be7d2275ef58b8ee979506c,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-2302507.json.gz,7931125,537600,10,triclinic,1.0,,,,,,
mp-1666665,dev_bulk,bulk,Materials Project,Li7Mn5O12,120x128x120,6808bf594f1d30db152a7af0671ec1103e04aca175339362fe19de5a7f5a0be2,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1818105.json.gz,27300707,1843200,48,triclinic,2.0,,,,,,
mp-17103,dev_bulk,bulk,Materials Project,Sr3Ta6(Si2O13)2,140x140x120,4bef719999e5f7aacf14b6ac3beb3fd3e1abffef6be49266bdbda417c11b940f,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1875020.json.gz,32261653,2352000,39,hexagonal,189.0,,,,,,
mp-1778,dev_bulk,bulk,Materials Project,BeO,48x48x48,26d62af5fbe83da40debb04fd5fdb371abb62ee6933cc3459c99a22df278b576,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1948199.json.gz,1072941,110592,2,cubic,216.0,,,,,,
mp-1841520,dev_bulk,bulk,Materials Project,Ba2Ca3Tl2(FeO3)4,60x60x320,554f15d0b0bc9deefc03d38d7671eb9959a65487762d071b1c5e624aac78fe52,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1841520.json.gz,16993466,1152000,23,tetragonal,139.0,,,,,,
mp-19133,dev_bulk,bulk,Materials Project,YVO4,96x96x96,2866c9aa384806650bf6267a39df97d0149a9b233b793e50eeae0b1f7d741d36,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-2221657.json.gz,12956546,884736,12,tetragonal,141.0,,,,,,
mp-20888,dev_bulk,bulk,Materials Project,TmGeRu,72x108x108,d9d4542aa5128513560cec6b56ce9e546d5f6284207024dfdc2be0b1fe144e33,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-2711685.json.gz,12267126,839808,12,orthorhombic,62.0,,,,,,
mp-21054,dev_bulk,bulk,Materials Project,PrSnPd,64x120x120,7ece2845adc58fcbe2b9e6954ce77ff8359e96bd55f0dc274c1cb535a38951c8,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-2268730.json.gz,12988445,921600,9,hexagonal,189.0,,,,,,
mp-21079,dev_bulk,bulk,Materials Project,Tb(GeRu)2,64x64x96,ce665a4e19ebaf757ee3f7f933716dce43560865d2b960551df4f50cdf1892e1,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-2299611.json.gz,5745727,393216,5,tetragonal,139.0,,,,,,
mp-214,dev_bulk,bulk,Materials Project,ZrRu,56x56x56,433d356350ba41e0f68382a709b470c7a0eb59ba3a06004be6114b1ad9899700,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1538442.json.gz,1605380,175616,2,cubic,221.0,,,,,,
mp-21588,dev_bulk,bulk,Materials Project,Sc2Fe3Si5,160x160x80,a7e8e3fb1cf036c42f9ebfd94d430b5f50516582fd1aefb7ea20d845c9d7019b,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1930429.json.gz,20475379,2048000,40,tetragonal,128.0,,,,,,
