material,domain,sentinel,solver,codec,control,codec_error_e,control_median_error_e,difference_e,ratio,relative_linf_mismatch_max,max_added_negative_fraction
mp-30772,bulk,False,henkelman_neargrid,sz3,stratified,1.9598820000000003,3.3259430000000005,1.3660610000000002,1.6970118609181573,0.0,0.0
mp-30772,bulk,False,henkelman_neargrid,sperr,global,3.140745000000001,3.439326000000001,0.29858100000000043,1.0950669347559259,7.518136873437244e-15,0.0
mp-30772,bulk,False,henkelman_neargrid,sperr,shift,3.140745000000001,3.2340170000000015,0.09327200000000069,1.0296974125565752,7.518136873437244e-15,0.0
mp-30772,bulk,False,henkelman_neargrid,sperr,stratified,3.140745000000001,3.2946910000000003,0.15394599999999947,1.049015758999855,0.0,0.0
mp-1079749,bulk,False,baderkit_ongrid,zfp,global,0.10923852260000011,2.9133035958,2.8040650732,26.669196236456578,0.0,0.0
mp-1079749,bulk,False,baderkit_ongrid,zfp,shift,0.10923852260000011,2.9133035958,2.8040650732,26.669196236456578,0.0,0.0
mp-1079749,bulk,False,baderkit_ongrid,zfp,stratified,0.10923852260000011,2.9135000841,2.8042615614999997,26.670994945330733,0.0,0.0
mp-1079749,bulk,False,baderkit_ongrid,sz3,global,2.9204597884,2.9184347452,-0.0020250432000001872,0.9993066012385983,0.0,0.0
mp-1079749,bulk,False,baderkit_ongrid,sz3,shift,2.9204597884,2.9198795338,-0.0005802545999999964,0.999801313956691,0.0,0.0
mp-1079749,bulk,False,baderkit_ongrid,sz3,stratified,2.9204597884,2.9220711228,0.0016113343999997198,1.0005517399713566,0.0,0.0
mp-1079749,bulk,False,baderkit_ongrid,sperr,global,2.9190639731,2.9174809635,-0.0015830096000000182,0.9994576995863784,9.258989067691706e-14,0.0
mp-1079749,bulk,False,baderkit_ongrid,sperr,shift,2.9190639731,0.12095793520000075,-2.7981060378999993,0.04143723341271802,0.0,0.0
mp-1079749,bulk,False,baderkit_ongrid,sperr,stratified,2.9190639731,2.9185808746,-0.0004830985000001675,0.999834502256733,0.0,0.0
mp-1079749,bulk,False,henkelman_ongrid,zfp,global,0.15116099999999988,0.15092399999999984,-0.00023700000000004273,0.9984321352729868,0.0,0.0
mp-1079749,bulk,False,henkelman_ongrid,zfp,shift,0.15116099999999988,0.15119100000000008,3.0000000000196536e-05,1.0001984638894965,0.0,0.0
mp-1079749,bulk,False,henkelman_ongrid,zfp,stratified,0.15116099999999988,0.15119300000000013,3.200000000025405e-05,1.0002116948154633,0.0,0.0
mp-1079749,bulk,False,henkelman_ongrid,sz3,global,0.15167599999999992,0.1534690000000003,0.0017930000000003776,1.0118212505604076,0.0,0.0
mp-1079749,bulk,False,henkelman_ongrid,sz3,shift,0.15167599999999992,0.15478400000000003,0.0031080000000001107,1.020491046704819,0.0,0.0
mp-1079749,bulk,False,henkelman_ongrid,sz3,stratified,0.15167599999999992,0.1526399999999999,0.0009639999999999649,1.006355652838946,0.0,0.0
mp-1079749,bulk,False,henkelman_ongrid,sperr,global,0.15435599999999994,0.15270200000000012,-0.0016539999999998223,0.989284511130116,9.258989067691706e-14,0.0
mp-1079749,bulk,False,henkelman_ongrid,sperr,shift,0.15435599999999994,0.150706,-0.003649999999999931,0.976353364948561,0.0,0.0
mp-1079749,bulk,False,henkelman_ongrid,sperr,stratified,0.15435599999999994,0.15431299999999992,-4.300000000001525e-05,0.9997214232035035,0.0,0.0
mp-1079749,bulk,False,henkelman_neargrid,zfp,global,0.15244499999999994,0.15240199999999993,-4.300000000001525e-05,0.9997179310571025,0.0,0.0
mp-1079749,bulk,False,henkelman_neargrid,zfp,shift,0.15244499999999994,0.15252,7.500000000004725e-05,1.0004919807143564,0.0,0.0
mp-1079749,bulk,False,henkelman_neargrid,zfp,stratified,0.15244499999999994,0.15236499999999986,-8.000000000008001e-05,0.9994752205713531,0.0,0.0
mp-1079749,bulk,False,henkelman_neargrid,sz3,global,0.1898219999999995,0.189438,-0.00038399999999949586,0.9979770521857345,0.0,0.0
mp-1079749,bulk,False,henkelman_neargrid,sz3,shift,0.1898219999999995,0.18785900000000044,-0.001962999999999049,0.9896587329182126,0.0,0.0
mp-1079749,bulk,False,henkelman_neargrid,sz3,stratified,0.1898219999999995,0.15246899999999997,-0.037352999999999525,0.8032209122230319,0.0,0.0
mp-1079749,bulk,False,henkelman_neargrid,sperr,global,0.152941,0.15259599999999995,-0.0003450000000000397,0.9977442281664168,9.258989067691706e-14,0.0
mp-1079749,bulk,False,henkelman_neargrid,sperr,shift,0.152941,0.15284799999999987,-9.300000000012076e-05,0.9993919223752943,0.0,0.0
mp-1079749,bulk,False,henkelman_neargrid,sperr,stratified,0.152941,0.15250799999999987,-0.00043300000000012773,0.9971688428871256,0.0,0.0
nomad-FPTBoTAPMQA8,slab,False,baderkit_ongrid,zfp,global,0.0015430046000002307,0.0013393692000001067,-0.00020363540000012392,0.868026705817926,1.1257135661039438e-13,0.1459862075617284
nomad-FPTBoTAPMQA8,slab,False,baderkit_ongrid,zfp,shift,0.0015430046000002307,0.00172865130000055,0.00018564670000031924,1.1203150658139913,1.1257135661039438e-13,0.15597077546296295
nomad-FPTBoTAPMQA8,slab,False,baderkit_ongrid,zfp,stratified,0.0015430046000002307,0.0014841062000003902,-5.889839999984048e-05,0.9618287592922071,0.0,0.13861255787037038
nomad-FPTBoTAPMQA8,slab,False,baderkit_ongrid,sz3,global,0.0053400852999985204,0.01063614909999977,0.005296063800001249,1.9917564050901428,0.0,-0.01084201388888889
nomad-FPTBoTAPMQA8,slab,False,baderkit_ongrid,sz3,shift,0.0053400852999985204,0.00748425180000023,0.0021441665000017096,1.4015228932770614,0.0,0.0004021990740740722
nomad-FPTBoTAPMQA8,slab,False,baderkit_ongrid,sz3,stratified,0.0053400852999985204,0.007250205800000131,0.0019101205000016108,1.3576947544268891,1.9308968271228733e-13,-0.00035445601851852304
nomad-FPTBoTAPMQA8,slab,False,baderkit_ongrid,sperr,global,0.01286895039999969,0.015282509199999517,0.0024135587999998265,1.1875490016652706,0.0,0.00010850694444444753
nomad-FPTBoTAPMQA8,slab,False,baderkit_ongrid,sperr,shift,0.01286895039999969,0.013183971799999306,0.0003150213999996154,1.024479183632538,0.0,0.00010030864197529965
nomad-FPTBoTAPMQA8,slab,False,baderkit_ongrid,sperr,stratified,0.01286895039999969,0.012384846500000046,-0.00048410389999964387,0.9623820214584357,0.0,-1.3985339506167316e-05
nomad-FPTBoTAPMQA8,slab,False,henkelman_ongrid,zfp,global,0.00154299999999985,0.001338999999999757,-0.000204000000000093,0.8677900194425711,1.1257135661039438e-13,0.1459862075617284
nomad-FPTBoTAPMQA8,slab,False,henkelman_ongrid,zfp,shift,0.00154299999999985,0.0017290000000009798,0.0001860000000011297,1.120544394038333,1.1257135661039438e-13,0.15597077546296295
nomad-FPTBoTAPMQA8,slab,False,henkelman_ongrid,zfp,stratified,0.00154299999999985,0.001484000000000485,-5.8999999999365116e-05,0.9617627997411725,0.0,0.13861255787037038
nomad-FPTBoTAPMQA8,slab,False,henkelman_ongrid,sz3,global,0.0053400000000003445,0.009377000000000635,0.00403700000000029,1.7559925093633015,0.0,-0.01084201388888889
